address,avg_rating,business_hours,category,covid_services,covid_update_time,covid_updates_text,cuisine,location,num_reviews,phone_num,price_range,recent_reviews,restaurant_name,url
"2330 W North Loop Blvd, Austin, TX 78756",4.0,"{'Mon': '5:00 pm - 9:00 pm', 'Tue': '5:00 pm - 9:00 pm', 'Wed': '5:00 pm - 9:00 pm', 'Thu': '5:00 pm - 9:00 pm', 'Fri': '5:00 pm - 9:00 pm', 'Sat': '5:00 pm - 9:00 pm', 'Sun': 'Closed'}","Mexican,Breakfast & Brunch,Salad","{'Takeout': False, 'Curbside pickup': True}",Powered by HDScores,Elite '2020,mexican,"Austin, TX",864,(512) 459-4121,$$,"[('2 star rating', '7/18/2020'), ('5 star rating', '7/16/2020'), ('5 star rating', '7/16/2020'), ('4 star rating', '6/19/2020'), ('4 star rating', '3/17/2020'), ('5 star rating', '6/9/2020'), ('5 star rating', '5/20/2020'), ('1 star rating', '3/21/2020'), ('4 star rating', '3/13/2020'), ('5 star rating', '3/13/2020'), ('5 star rating', '3/10/2020'), ('5 star rating', '3/1/2020'), ('5 star rating', '2/24/2020'), ('2 star rating', '2/16/2020'), ('2 star rating', '2/16/2020'), ('5 star rating', '2/14/2020'), ('5 star rating', '1/30/2020'), ('5 star rating', '1/28/2020'), ('1 star rating', '1/27/2020'), ('1 star rating', '1/27/2020')]",Fonda San Miguel,https://www.yelp.com/biz/fonda-san-miguel-austin-7?osq=mexican&sort_by=date_desc
"1728 Barton Springs Rd, Austin, TX 78704",4.0,"{'Mon': '11:00 am - 8:00 pm', 'Tue': '11:00 am - 8:00 pm', 'Wed': '11:00 am - 8:00 pm', 'Thu': '11:00 am - 8:00 pm', 'Fri': '11:00 am - 9:00 pm', 'Sat': '11:00 am - 9:00 pm', 'Sun': '11:00 am - 8:00 pm'}","Tex-Mex,Mexican,Bars","{'Delivery': True, 'Takeout': True, 'Sit-down dining': True, 'Curbside pickup': True, 'Masks required': True, 'Staff wears masks': True, 'Limited capacity': True, 'Sanitizing between customers': True}","Posted on July 7, 2020","""To our valued customers - we are open for dine-in! Right now, we have adjusted hours and are serving a limited menu. Our top priority is the health and safety of our employees and customers. You can still order Chuy's made-from-scratch favorites at order.chuys.com for cur…""",mexican,"Austin, TX",1034,(512) 474-4452,$$,"[('5 star rating', '7/13/2020'), ('5 star rating', '7/5/2020'), ('5 star rating', '6/25/2020'), ('5 star rating', '6/18/2020'), ('5 star rating', '6/14/2020'), ('4 star rating', '6/12/2020'), ('4 star rating', '2/1/2009'), ('3 star rating', '5/9/2020'), ('5 star rating', '3/29/2020'), ('4 star rating', '3/24/2020'), ('4 star rating', '3/16/2020'), ('3 star rating', '3/13/2020'), ('3 star rating', '3/13/2020'), ('5 star rating', '3/10/2020'), ('4 star rating', '3/10/2020'), ('4 star rating', '3/7/2020'), ('5 star rating', '3/5/2020'), ('1 star rating', '2/27/2020'), ('4 star rating', '2/23/2020'), ('5 star rating', '2/21/2020')]",Chuy's,https://www.yelp.com/biz/chuys-austin?osq=mexican&sort_by=date_desc
"1779 Wells Branch Pkwy, Ste 108, Austin, TX 78728",4.0,"{'Mon': 'Closed', 'Tue': '8:00 am - 1:30 pm', 'Wed': '8:00 am - 1:30 pm', 'Thu': '8:00 am - 1:30 pm', 'Fri': '8:00 am - 1:30 pm', 'Sat': '8:00 am - 1:30 pm', 'Sun': '8:00 am - 1:30 pm'}","Mexican,Buffets,Breakfast & Brunch","{'Delivery': True, 'Takeout': True}",Powered by HDScores,Elite '2020,mexican,"Austin, TX",144,(512) 252-3430,$,"[('5 star rating', '6/27/2020'), ('5 star rating', '4/27/2020'), ('5 star rating', '3/15/2020'), ('5 star rating', '2/29/2020'), ('5 star rating', '2/2/2020'), ('5 star rating', '1/19/2020'), ('5 star rating', '8/30/2019'), ('4 star rating', '8/17/2019'), ('1 star rating', '8/1/2019'), ('1 star rating', '7/26/2019'), ('5 star rating', '7/11/2019'), ('5 star rating', '6/23/2019'), ('5 star rating', '6/22/2019'), ('1 star rating', '6/2/2019'), ('5 star rating', '5/14/2019'), ('4 star rating', '4/15/2019'), ('5 star rating', '3/30/2019'), ('4 star rating', '3/18/2019'), ('5 star rating', '3/2/2019')]",El Faro Taco & Cafe,https://www.yelp.com/biz/el-faro-taco-and-cafe-austin?osq=mexican&sort_by=date_desc
"1210 E Cesar Chavez St, Austin, TX 78702",4.5,"{'Mon': '11:00 am - 12:00 am', 'Tue': '11:00 am - 12:00 am', 'Wed': '11:00 am - 12:00 am', 'Thu': '11:00 am - 12:00 am', 'Fri': '11:00 am - 12:00 am', 'Sat': '11:00 am - 12:00 am', 'Sun': '11:00 am - 12:00 am'}","Mexican,Food Trucks","{'Delivery': False, 'Takeout': True, 'Curbside pickup': False}",By Charles N.,Elite '2020,mexican,"Austin, TX",331,(512) 701-8287,$,"[('5 star rating', '6/27/2020'), ('5 star rating', '6/21/2020'), ('5 star rating', '6/9/2020'), ('4 star rating', '6/1/2020'), ('4 star rating', '5/27/2020'), ('5 star rating', '3/23/2020'), ('5 star rating', '3/22/2020'), ('5 star rating', '3/17/2020'), ('3 star rating', '3/13/2020'), ('3 star rating', '3/13/2020'), ('5 star rating', '3/11/2020'), ('5 star rating', '3/10/2020'), ('4 star rating', '3/10/2020'), ('5 star rating', '2/25/2020'), ('4 star rating', '2/24/2020'), ('5 star rating', '2/21/2020'), ('5 star rating', '11/22/2019'), ('5 star rating', '2/17/2020'), ('5 star rating', '2/13/2020'), ('1 star rating', '2/7/2020')]",Las Trancas,https://www.yelp.com/biz/las-trancas-austin?osq=mexican&sort_by=date_desc
"2004 S 1st St, Austin, TX 78704",3.5,"{'Mon': '11:00 am - 9:00 pm', 'Tue': '11:00 am - 9:00 pm', 'Wed': '11:00 am - 9:00 pm', 'Thu': '11:00 am - 9:00 pm', 'Fri': '11:00 am - 9:00 pm', 'Sat': '11:00 am - 9:00 pm', 'Sun': '11:00 am - 9:00 pm'}","Mexican,Breakfast & Brunch","{'Delivery': True, 'Takeout': True}",Powered by HDScores,Elite '2020,mexican,"Austin, TX",1408,(512) 441-5446,$$,"[('5 star rating', '7/20/2020'), ('4 star rating', '7/20/2020'), ('4 star rating', '7/5/2020'), ('1 star rating', '6/22/2020'), ('2 star rating', '6/20/2020'), ('5 star rating', '6/13/2020'), ('1 star rating', '6/1/2020'), ('1 star rating', '5/19/2020'), ('3 star rating', '5/18/2020'), ('1 star rating', '5/18/2020'), ('1 star rating', '5/13/2020'), ('5 star rating', '5/10/2020'), ('4 star rating', '4/17/2020'), ('2 star rating', '4/4/2020'), ('1 star rating', '2/5/2020'), ('3 star rating', '2/2/2020'), ('5 star rating', '1/26/2020'), ('2 star rating', '1/22/2020'), ('2 star rating', '1/18/2020')]",Polvo's Mexican Restaurant,https://www.yelp.com/biz/polvos-mexican-restaurant-austin?osq=mexican&sort_by=date_desc
"3815 Dry Creek Dr, Austin, TX 78731",3.5,"{'Mon': '11:30 am - 10:00 pm', 'Tue': '11:30 am - 10:00 pm', 'Wed': '11:30 am - 10:00 pm', 'Thu': '11:30 am - 10:00 pm', 'Fri': '11:30 am - 12:00 am', 'Sat': '10:00 am - 2:00 am', 'Sun': '10:00 am - 10:00 pm'}",Mexican,"{'Delivery': True, 'Takeout': True}",Powered by HDScores,Elite '2020,mexican,"Austin, TX",212,(512) 334-9973,$$,"[('5 star rating', '7/14/2020'), ('4 star rating', '7/2/2020'), ('5 star rating', '6/30/2020'), ('3 star rating', '6/19/2020'), ('5 star rating', '5/19/2020'), ('5 star rating', '4/22/2020'), ('5 star rating', '4/20/2020'), ('1 star rating', '2/29/2020'), ('2 star rating', '11/19/2019'), ('4 star rating', '11/7/2019'), ('5 star rating', '9/21/2019'), ('5 star rating', '9/20/2019'), ('5 star rating', '8/22/2019'), ('1 star rating', '8/10/2019'), ('1 star rating', '8/7/2019'), ('4 star rating', '8/7/2019'), ('4 star rating', '7/26/2015'), ('4 star rating', '6/26/2019'), ('2 star rating', '6/16/2019'), ('5 star rating', '6/12/2019')]",Azul Tequila,https://www.yelp.com/biz/azul-tequila-austin-2?osq=mexican&sort_by=date_desc
"1713 E Riverside Dr, Austin, TX 78741",4.0,"{'Mon': '9:00 am - 12:00 am', 'Tue': '9:00 am - 12:00 am', 'Wed': '9:00 am - 12:00 am', 'Thu': '9:00 am - 3:00 am', 'Fri': '8:00 am - 4:00 am', 'Sat': '8:00 am - 4:00 am', 'Sun': '8:00 am - 12:00 am'}",Mexican,"{'Delivery': True, 'Takeout': True, 'Curbside pickup': True}",Powered by HDScores,Elite '2020,mexican,"Austin, TX",441,(512) 851-8226,$,"[('1 star rating', '7/12/2020'), ('5 star rating', '7/3/2020'), ('1 star rating', '6/28/2020'), ('5 star rating', '6/13/2020'), ('2 star rating', '6/5/2020'), ('4 star rating', '5/27/2020'), ('3 star rating', '5/17/2020'), ('5 star rating', '4/8/2020'), ('5 star rating', '3/9/2020'), ('1 star rating', '3/8/2020'), ('3 star rating', '3/1/2020'), ('1 star rating', '2/22/2020'), ('5 star rating', '1/31/2020'), ('1 star rating', '1/17/2020'), ('1 star rating', '1/8/2020'), ('2 star rating', '12/18/2019'), ('1 star rating', '12/16/2019'), ('5 star rating', '12/12/2019'), ('2 star rating', '11/20/2019')]",El Taquito,https://www.yelp.com/biz/el-taquito-austin?osq=mexican&sort_by=date_desc
"1701 E Cesar Chavez St, Austin, TX 78702",3.5,"{'Mon': '5:00 am - 2:00 am', 'Tue': '5:00 am - 2:00 am', 'Wed': '5:00 am - Thu', 'Thu': 'Open 24 hours', 'Fri': 'Open 24 hours', 'Sat': 'Open 24 hours', 'Sun': 'Open 24 hours'}",Mexican,"{'Delivery': True, 'Takeout': True}",Powered by HDScores,Elite '2020,mexican,"Austin, TX",354,(512) 479-7911,$,"[('5 star rating', '7/18/2020'), ('3 star rating', '7/12/2020'), ('5 star rating', '6/30/2020'), ('5 star rating', '6/15/2020'), ('5 star rating', '6/14/2020'), ('1 star rating', '6/6/2020'), ('1 star rating', '3/5/2020'), ('5 star rating', '2/5/2020'), ('4 star rating', '2/2/2020'), ('5 star rating', '12/31/2019'), ('2 star rating', '12/30/2019'), ('1 star rating', '12/25/2019'), ('5 star rating', '10/27/2019'), ('1 star rating', '10/9/2019'), ('4 star rating', '9/24/2019'), ('3 star rating', '9/1/2019'), ('1 star rating', '8/16/2019'), ('5 star rating', '8/12/2019'), ('1 star rating', '8/11/2019')]",Las Cazuelas Mexican Restaurant,https://www.yelp.com/biz/las-cazuelas-mexican-restaurant-austin-2?osq=mexican&sort_by=date_desc
"13000 N Interstate Hwy 35, Bldg 12 Ste 204, Austin, TX 78753",5.0,"{'Mon': '7:00 am - 3:00 pm', 'Tue': '7:00 am - 3:00 pm', 'Wed': '7:00 am - 3:00 pm', 'Thu': '7:00 am - 10:00 pm', 'Fri': '7:00 am - 10:00 pm', 'Sat': '7:00 am - 10:00 pm', 'Sun': '7:00 am - 3:00 pm'}","Mexican,Breakfast & Brunch,Burgers","{'Delivery': True, 'Takeout': True}",,,mexican,"Austin, TX",1,(512) 505-8363,,,Loschilakillers,https://www.yelp.com/biz/loschilakillers-austin?osq=mexican&sort_by=date_desc
"1800 E 6th St, Austin, TX 78702",4.5,"{'Mon': '4:00 pm - 9:00 pm', 'Tue': '4:00 pm - 9:00 pm', 'Wed': '4:00 pm - 9:00 pm', 'Thu': '4:00 pm - 9:00 pm', 'Fri': '11:00 am - 10:00 pm', 'Sat': '11:00 am - 10:00 pm', 'Sun': '11:00 am - 9:00 pm'}",Mexican,"{'Takeout': True, 'Sit-down dining': True, 'Curbside pickup': True}",Powered by HDScores,Thu,mexican,"Austin, TX",460,(512) 953-0092,$$$,"[('1 star rating', '7/23/2020'), ('5 star rating', '7/22/2020'), ('5 star rating', '7/15/2020'), ('5 star rating', '7/12/2020'), ('2 star rating', '1/31/2020'), ('5 star rating', '7/11/2020'), ('5 star rating', '7/8/2020'), ('5 star rating', '7/5/2020'), ('5 star rating', '6/27/2020'), ('5 star rating', '6/26/2020'), ('5 star rating', '6/26/2020'), ('5 star rating', '6/16/2020'), ('1 star rating', '6/16/2020'), ('2 star rating', '4/2/2019'), ('1 star rating', '6/10/2020'), ('1 star rating', '6/9/2020'), ('5 star rating', '5/24/2020'), ('5 star rating', '5/16/2020'), ('5 star rating', '4/16/2020'), ('4 star rating', '4/11/2020'), ('5 star rating', '4/10/2020'), ('5 star rating', '5/7/2018')]",Suerte,https://www.yelp.com/biz/suerte-austin?osq=mexican&sort_by=date_desc
