address,avg_rating,business_hours,category,covid_services,covid_update_time,covid_updates_text,cuisine,location,num_reviews,phone_num,price_range,recent_reviews,restaurant_name,url
"1590 2nd Ave, New York, NY 10028",4.0,"{'Mon': '12:00 pm - 11:00 pm', 'Tue': '12:00 pm - 11:00 pm', 'Wed': '12:00 pm - 11:00 pm', 'Thu': '12:00 pm - 11:00 pm', 'Fri': '12:00 pm - 11:00 pm', 'Sat': '10:00 am - 11:00 pm', 'Sun': '10:00 am - 11:00 pm'}","Gastropubs,Bars,Breakfast & Brunch","{'Delivery': True, 'Takeout': True, 'Sit-down dining': True, 'Curbside pickup': True, 'Masks required': True, 'Staff wears gloves': True, 'Staff wears masks': True, 'Limited capacity': True, 'Hand sanitizer provided': True, 'Sanitizing between customers': True, 'Social distancing enforced': True}",Powered by HDScores,Fri,american,"New York, NY",1181,(212) 203-2751,$$,"[('5 star rating', '7/23/2020'), ('5 star rating', '6/27/2020'), ('4 star rating', '6/13/2020'), ('5 star rating', '5/26/2020'), ('5 star rating', '3/16/2020'), ('4 star rating', '3/15/2020'), ('3 star rating', '3/9/2020'), ('5 star rating', '3/8/2020'), ('4 star rating', '3/8/2020'), ('4 star rating', '3/6/2020'), ('5 star rating', '3/3/2020'), ('5 star rating', '3/1/2020'), ('5 star rating', '2/29/2020'), ('5 star rating', '2/22/2020'), ('5 star rating', '2/22/2020'), ('1 star rating', '2/19/2020'), ('4 star rating', '2/9/2020'), ('4 star rating', '2/9/2020'), ('4 star rating', '2/17/2018'), ('5 star rating', '2/4/2020')]",The Penrose,https://www.yelp.com/biz/the-penrose-new-york?osq=american&sort_by=date_desc
"1716 Sheepshead Bay Rd, Brooklyn, NY 11235",4.0,"{'Mon': '10:00 am - 10:00 pm', 'Tue': '10:00 am - 10:00 pm', 'Wed': '10:00 am - 10:00 pm', 'Thu': '10:00 am - 10:00 pm', 'Fri': '10:00 am - 11:00 pm', 'Sat': '10:00 am - 11:00 pm', 'Sun': '10:00 am - 10:00 pm'}","Breakfast & Brunch,Burgers,Cocktail Bars","{'Outdoor seating': True, 'Delivery': True, 'Takeout': True, 'Curbside pickup': True, 'Staff wears masks': True}",Powered by HDScores,Elite '2020,american,"New York, NY",152,(718) 675-3939,$$,"[('5 star rating', '7/18/2020'), ('5 star rating', '6/19/2020'), ('5 star rating', '5/11/2020'), ('5 star rating', '5/9/2020'), ('5 star rating', '3/2/2020'), ('3 star rating', '2/15/2020'), ('3 star rating', '2/10/2020'), ('5 star rating', '2/6/2020'), ('2 star rating', '2/3/2020'), ('5 star rating', '1/23/2020'), ('4 star rating', '1/20/2020'), ('4 star rating', '1/19/2020'), ('4 star rating', '1/12/2020'), ('4 star rating', '1/9/2020'), ('5 star rating', '1/5/2020'), ('5 star rating', '12/29/2019'), ('5 star rating', '12/26/2019'), ('5 star rating', '12/25/2019'), ('5 star rating', '12/21/2019'), ('4 star rating', '12/7/2019')]",Terra Cafe,https://www.yelp.com/biz/terra-cafe-brooklyn-3?osq=american&sort_by=date_desc
"313 W 57th St, New York, NY 10019",4.0,"{'Mon': '12:00 pm - 9:00 pm', 'Tue': '12:00 pm - 9:00 pm', 'Wed': '12:00 pm - 9:00 pm', 'Thu': '12:00 pm - 10:00 pm', 'Fri': '12:00 pm - 10:00 pm', 'Sat': '12:00 pm - 10:00 pm', 'Sun': '12:00 pm - 9:00 pm'}","Burgers,Salad,American (Traditional)","{'Outdoor seating': True, 'Delivery': True, 'Takeout': True, 'Sit-down dining': True, 'Curbside pickup': True, 'Contactless payments': True, 'Staff wears gloves': True, 'Staff wears masks': True, 'Hand sanitizer provided': True, 'Sanitizing between customers': True, 'Social distancing enforced': True}",Powered by HDScores,Elite '2020,american,"New York, NY",396,(212) 685-2273,$$,"[('3 star rating', '7/19/2020'), ('5 star rating', '7/19/2020'), ('3 star rating', '7/5/2020'), ('1 star rating', '6/6/2020'), ('4 star rating', '5/22/2020'), ('5 star rating', '5/4/2020'), ('3 star rating', '2/24/2020'), ('3 star rating', '2/15/2020'), ('4 star rating', '2/10/2020'), ('4 star rating', '1/29/2020'), ('2 star rating', '1/26/2020'), ('5 star rating', '1/17/2020'), ('4 star rating', '1/8/2020'), ('5 star rating', '1/5/2020'), ('4 star rating', '12/28/2019'), ('5 star rating', '12/27/2019'), ('5 star rating', '12/20/2019'), ('4 star rating', '12/18/2019'), ('5 star rating', '12/16/2019')]",Bareburger,https://www.yelp.com/biz/bareburger-new-york-22?osq=american&sort_by=date_desc
"170 Waverly Pl, New York, NY 10014",4.0,"{'Mon': '10:30 am - 12:00 am', 'Tue': '8:00 am - 12:00 am', 'Wed': '8:00 am - 12:00 am', 'Thu': '8:00 am - 2:00 am', 'Fri': '8:00 am - 2:00 am', 'Sat': '9:00 am - 2:00 am', 'Sun': '9:00 am - 12:00 am'}","American (New),French","{'Delivery': False, 'Takeout': False, 'Curbside pickup': False}",Powered by HDScores,Elite '2020,american,"New York, NY",658,(646) 429-8383,$$,"[('5 star rating', '3/14/2020'), ('5 star rating', '3/2/2020'), ('4 star rating', '2/22/2020'), ('5 star rating', '2/16/2020'), ('5 star rating', '1/25/2020'), ('3 star rating', '1/20/2020'), ('3 star rating', '12/19/2019'), ('1 star rating', '12/18/2019'), ('5 star rating', '11/19/2019'), ('5 star rating', '11/16/2019'), ('5 star rating', '11/15/2019'), ('4 star rating', '10/29/2019'), ('5 star rating', '10/2/2019'), ('4 star rating', '9/28/2019'), ('5 star rating', '9/22/2019'), ('4 star rating', '8/27/2019'), ('4 star rating', '8/24/2019'), ('5 star rating', '8/9/2019'), ('4 star rating', '8/8/2019')]",Joseph Leonard,https://www.yelp.com/biz/joseph-leonard-new-york?osq=american&sort_by=date_desc
"88 Broad St, New York, NY 10004",4.0,"{'Mon': '11:30 am - 1:00 am', 'Tue': '11:30 am - 2:00 am', 'Wed': '11:30 am - 2:00 am', 'Thu': '11:30 am - 2:00 am', 'Fri': '11:30 am - 2:00 am', 'Sat': '11:00 am - 2:00 am', 'Sun': '11:00 am - 1:00 am'}","American (New),Cocktail Bars,Sports Bars","{'Delivery': True, 'Takeout': True}",Powered by HDScores,Elite '2020,american,"New York, NY",246,(646) 707-0426,$$,"[('1 star rating', '3/8/2020'), ('5 star rating', '2/23/2020'), ('3 star rating', '2/23/2020'), ('3 star rating', '2/4/2020'), ('5 star rating', '12/31/2019'), ('4 star rating', '12/31/2019'), ('1 star rating', '12/30/2019'), ('5 star rating', '12/28/2019'), ('5 star rating', '12/20/2019'), ('4 star rating', '12/9/2019'), ('5 star rating', '12/8/2019'), ('4 star rating', '12/5/2019'), ('5 star rating', '12/1/2019'), ('4 star rating', '11/24/2019'), ('1 star rating', '11/22/2019'), ('1 star rating', '11/22/2019'), ('5 star rating', '10/21/2019'), ('5 star rating', '10/20/2019'), ('1 star rating', '10/18/2019')]",Broadstone Bar & Kitchen,https://www.yelp.com/biz/broadstone-bar-and-kitchen-new-york?osq=american&sort_by=date_desc
"130 W 72nd St, New York, NY 10023",4.0,"{'Mon': '9:00 am - 4:30 pm', 'Tue': '9:00 am - 4:30 pm', 'Wed': '9:00 am - 4:30 pm', 'Thu': '9:00 am - 4:30 pm', 'Fri': '9:00 am - 4:30 pm', 'Sat': '8:30 am - 4:30 pm', 'Sun': '8:30 am - 4:30 pm'}","Breakfast & Brunch,American (New),Burgers","{'Delivery': True, 'Takeout': True}",Powered by HDScores,Elite '2020,american,"New York, NY",129,(646) 864-2289,$$,"[('4 star rating', '6/16/2020'), ('4 star rating', '5/29/2020'), ('5 star rating', '4/21/2020'), ('4 star rating', '4/7/2020'), ('5 star rating', '3/3/2020'), ('3 star rating', '3/3/2020'), ('5 star rating', '2/25/2020'), ('2 star rating', '1/27/2020'), ('5 star rating', '1/24/2020'), ('5 star rating', '1/18/2020'), ('4 star rating', '1/5/2020'), ('4 star rating', '1/3/2020'), ('1 star rating', '12/23/2019'), ('5 star rating', '12/14/2019'), ('2 star rating', '12/1/2019'), ('5 star rating', '11/30/2019'), ('5 star rating', '11/22/2019'), ('2 star rating', '11/17/2019'), ('4 star rating', '11/16/2019')]",Friedman's,https://www.yelp.com/biz/friedmans-new-york-68?osq=american&sort_by=date_desc
"282 Atlantic Ave, Brooklyn, NY 11201",4.0,"{'Mon': '12:00 pm - 10:00 pm', 'Tue': '12:00 pm - 10:00 pm', 'Wed': '12:00 pm - 10:00 pm', 'Thu': '12:00 pm - 10:00 pm', 'Fri': '12:00 pm - 11:00 pm', 'Sat': '12:00 pm - 11:00 pm', 'Sun': '12:00 pm - 10:00 pm'}","Burgers,Bars","{'Delivery': True, 'Takeout': True, 'Masks required': True, 'Staff wears masks': True, 'Hand sanitizer provided': True, 'Sanitizing between customers': True, 'Social distancing enforced': True}",Powered by HDScores,Elite '2020,american,"New York, NY",654,(718) 596-2282,$$,"[('5 star rating', '7/10/2020'), ('5 star rating', '6/12/2020'), ('5 star rating', '6/7/2020'), ('5 star rating', '6/6/2020'), ('5 star rating', '5/23/2020'), ('1 star rating', '5/3/2020'), ('4 star rating', '4/27/2020'), ('4 star rating', '4/16/2020'), ('5 star rating', '4/6/2020'), ('4 star rating', '3/19/2020'), ('2 star rating', '3/12/2020'), ('1 star rating', '3/5/2020'), ('4 star rating', '2/26/2020'), ('1 star rating', '2/24/2020'), ('5 star rating', '2/22/2020'), ('5 star rating', '2/20/2020'), ('4 star rating', '2/7/2020'), ('3 star rating', '2/1/2020'), ('3 star rating', '1/20/2020')]",Two 8 Two Bar & Burger,https://www.yelp.com/biz/two-8-two-bar-and-burger-brooklyn?osq=american&sort_by=date_desc
"287 3rd Ave, New York, NY 10010",4.0,"{'Mon': '11:00 am - 4:00 am', 'Tue': '11:00 am - 4:00 am', 'Wed': '11:00 am - 4:00 am', 'Thu': '11:00 am - 4:00 am', 'Fri': '11:00 am - 4:00 am', 'Sat': '11:00 am - 4:00 am', 'Sun': '11:00 am - 4:00 am'}","American (Traditional),Irish,Irish Pub","{'Delivery': True, 'Takeout': True, 'Curbside pickup': False}",Powered by HDScores,Elite '2020,american,"New York, NY",513,(212) 889-3361,$$,"[('4 star rating', '7/21/2020'), ('2 star rating', '7/9/2020'), ('5 star rating', '6/26/2020'), ('5 star rating', '5/18/2020'), ('5 star rating', '3/26/2020'), ('4 star rating', '2/21/2020'), ('4 star rating', '2/19/2020'), ('5 star rating', '2/10/2020'), ('5 star rating', '2/6/2020'), ('5 star rating', '1/3/2020'), ('5 star rating', '12/22/2019'), ('5 star rating', '12/20/2019'), ('4 star rating', '12/16/2019'), ('1 star rating', '12/12/2019'), ('2 star rating', '11/24/2019'), ('5 star rating', '10/25/2019'), ('5 star rating', '10/6/2019'), ('5 star rating', '8/25/2019'), ('4 star rating', '8/19/2019'), ('2 star rating', '6/19/2019')]",Molly's,https://www.yelp.com/biz/mollys-new-york?osq=american&sort_by=date_desc
"782 Washington Ave, Brooklyn, NY 11238",4.0,"{'Mon': '7:00 am - 5:00 pm', 'Tue': '7:00 am - 5:00 pm', 'Wed': '7:00 am - 5:00 pm', 'Thu': '7:00 am - 5:00 pm', 'Fri': '7:00 am - 5:00 pm', 'Sat': '7:00 am - 9:00 pm', 'Sun': '8:00 am - 8:00 pm'}","Diners,American (Traditional),Breakfast & Brunch","{'Delivery': True, 'Takeout': True}",Powered by HDScores,Elite '2020,american,"New York, NY",1303,(718) 636-9738,$$,"[('4 star rating', '7/15/2020'), ('5 star rating', '6/24/2020'), ('5 star rating', '6/23/2020'), ('1 star rating', '6/21/2020'), ('5 star rating', '4/8/2020'), ('5 star rating', '4/3/2020'), ('5 star rating', '3/24/2020'), ('5 star rating', '3/1/2020'), ('2 star rating', '2/10/2020'), ('1 star rating', '1/25/2020'), ('5 star rating', '1/24/2020'), ('5 star rating', '1/18/2020'), ('3 star rating', '1/14/2020'), ('1 star rating', '1/11/2020'), ('5 star rating', '1/2/2020'), ('5 star rating', '6/16/2019'), ('3 star rating', '12/28/2019'), ('5 star rating', '12/21/2019'), ('4 star rating', '12/16/2019'), ('4 star rating', '12/14/2019')]",Tom's,https://www.yelp.com/biz/toms-brooklyn?osq=american&sort_by=date_desc
"212 Berry St, Brooklyn, NY 11211",4.0,"{'Mon': '12:00 pm - 4:00 am', 'Tue': '12:00 pm - 4:00 am', 'Wed': '12:00 pm - 4:00 am', 'Thu': '12:00 pm - 4:00 am', 'Fri': '12:00 pm - 4:00 am', 'Sat': '12:00 pm - 4:00 am', 'Sun': '12:00 pm - 4:00 am'}","American (Traditional),Bars","{'Outdoor seating': True, 'Delivery': False, 'Takeout': True, 'Curbside pickup': False, 'Staff wears gloves': True, 'Staff wears masks': True, 'Sanitizing between customers': True, 'Social distancing enforced': True}",Powered by HDScores,Elite '2020,american,"New York, NY",398,(718) 218-8787,$,"[('5 star rating', '12/19/2019'), ('5 star rating', '11/6/2019'), ('1 star rating', '10/26/2019'), ('1 star rating', '10/26/2019'), ('5 star rating', '10/2/2019'), ('3 star rating', '8/22/2019'), ('5 star rating', '6/18/2019'), ('1 star rating', '6/15/2019'), ('5 star rating', '4/13/2019'), ('4 star rating', '12/8/2018'), ('4 star rating', '11/6/2018'), ('4 star rating', '8/16/2018'), ('5 star rating', '8/16/2018'), ('3 star rating', '7/15/2018'), ('5 star rating', '7/3/2018'), ('1 star rating', '5/14/2018'), ('1 star rating', '5/9/2018'), ('3 star rating', '4/6/2018'), ('3 star rating', '2/13/2018')]",The Levee,https://www.yelp.com/biz/the-levee-brooklyn?osq=american&sort_by=date_desc
