address,avg_rating,business_hours,category,covid_services,covid_update_time,covid_updates_text,cuisine,location,num_reviews,phone_num,price_range,recent_reviews,restaurant_name,url
"133 Wythe Ave, Brooklyn, NY 11211",4.5,"{'Mon': '11:30 am - 9:00 pm', 'Tue': '11:30 am - 9:00 pm', 'Wed': '11:30 am - 9:00 pm', 'Thu': '11:30 am - 9:00 pm', 'Fri': '11:30 am - 10:00 pm', 'Sat': '11:30 am - 10:00 pm', 'Sun': '11:30 am - 9:00 pm'}","Moroccan,Breakfast & Brunch,Mediterranean","{'Delivery': True, 'Takeout': True, 'Curbside pickup': False}",Powered by HDScores,Elite '2020,mediterranean,"New York, NY",1166,(718) 486-9222,$$,"[('5 star rating', '6/5/2020'), ('5 star rating', '6/1/2020'), ('5 star rating', '5/29/2020'), ('5 star rating', '5/16/2020'), ('5 star rating', '4/23/2020'), ('3 star rating', '3/29/2020'), ('4 star rating', '3/13/2020'), ('5 star rating', '3/11/2020'), ('5 star rating', '3/7/2020'), ('4 star rating', '3/4/2020'), ('5 star rating', '3/2/2020'), ('5 star rating', '2/27/2020'), ('5 star rating', '2/25/2020'), ('5 star rating', '2/24/2020'), ('4 star rating', '2/23/2020'), ('5 star rating', '2/22/2020'), ('4 star rating', '2/20/2020'), ('5 star rating', '2/17/2020'), ('5 star rating', '2/17/2020')]",Cafe Mogador,https://www.yelp.com/biz/cafe-mogador-brooklyn?osq=mediterranean&sort_by=date_desc
"116 Stanton St, New York, NY 10002",4.0,"{'Mon': '11:00 am - 9:30 pm', 'Tue': '11:00 am - 9:30 pm', 'Wed': '11:00 am - 9:30 pm', 'Thu': '11:00 am - 9:30 pm', 'Fri': '11:00 am - 9:30 pm', 'Sat': '11:00 am - 9:30 pm', 'Sun': '11:00 am - 9:30 pm'}",Greek,"{'Delivery': True, 'Takeout': True, 'Curbside pickup': True}",Powered by HDScores,Elite '2020,mediterranean,"New York, NY",883,(212) 777-0116,$$,"[('5 star rating', '7/21/2020'), ('4 star rating', '7/18/2020'), ('5 star rating', '7/12/2020'), ('4 star rating', '7/7/2020'), ('5 star rating', '5/29/2020'), ('2 star rating', '5/7/2020'), ('5 star rating', '3/22/2020'), ('1 star rating', '3/7/2020'), ('5 star rating', '3/2/2020'), ('1 star rating', '2/22/2020'), ('2 star rating', '2/19/2020'), ('5 star rating', '2/16/2020'), ('1 star rating', '2/9/2020'), ('5 star rating', '2/9/2020'), ('5 star rating', '2/7/2020'), ('2 star rating', '2/6/2020'), ('5 star rating', '1/25/2020'), ('5 star rating', '1/18/2020'), ('5 star rating', '12/29/2019')]",Souvlaki GR,https://www.yelp.com/biz/souvlaki-gr-new-york-3?osq=mediterranean&sort_by=date_desc
"773 10th Ave, New York, NY 10019",4.0,"{'Mon': '5:00 pm - 11:00 pm', 'Tue': '5:00 pm - 11:00 pm', 'Wed': '5:00 pm - 11:00 pm', 'Thu': '5:00 pm - 11:00 pm', 'Fri': '5:00 pm - 11:00 pm', 'Sat': '11:00 am - 3:00 pm', 'Sun': '11:00 am - 3:30 pm'}","Middle Eastern,Mediterranean","{'Delivery': True, 'Takeout': True, 'Sit-down dining': True, 'Curbside pickup': True, 'Staff wears gloves': True, 'Staff wears masks': True, 'Limited capacity': True, 'Hand sanitizer provided': True, 'Sanitizing between customers': True, 'Social distancing enforced': True}",Powered by HDScores,Elite '2020,mediterranean,"New York, NY",656,(212) 713-0271,$$$,"[('4 star rating', '7/18/2020'), ('5 star rating', '7/12/2020'), ('2 star rating', '5/25/2020'), ('5 star rating', '2/22/2020'), ('5 star rating', '2/12/2020'), ('5 star rating', '2/3/2020'), ('5 star rating', '2/3/2020'), ('5 star rating', '1/24/2020'), ('5 star rating', '1/21/2020'), ('5 star rating', '1/7/2020'), ('4 star rating', '1/2/2020'), ('5 star rating', '12/23/2019'), ('5 star rating', '12/7/2019'), ('5 star rating', '11/29/2019'), ('1 star rating', '11/23/2019'), ('1 star rating', '11/14/2019'), ('3 star rating', '10/30/2019'), ('5 star rating', '10/30/2019'), ('5 star rating', '10/22/2019')]",Taboon,https://www.yelp.com/biz/taboon-new-york?osq=mediterranean&sort_by=date_desc
"70-35 Austin St, Forest Hills, NY 11375",3.5,"{'Mon': '11:00 am - 11:00 pm', 'Tue': '11:00 am - 11:00 pm', 'Wed': '11:00 am - 11:00 pm', 'Thu': '11:00 am - 11:00 pm', 'Fri': '11:00 am - 11:00 pm', 'Sat': '11:00 am - 11:00 pm', 'Sun': '11:00 am - 11:00 pm'}",Mediterranean,"{'Outdoor seating': True, 'Delivery': True, 'Takeout': True}",Powered by HDScores,Elite '2020,mediterranean,"New York, NY",328,(347) 308-6901,$$,"[('2 star rating', '7/23/2020'), ('5 star rating', '7/16/2020'), ('1 star rating', '7/11/2020'), ('5 star rating', '7/10/2020'), ('5 star rating', '7/9/2020'), ('2 star rating', '7/5/2020'), ('2 star rating', '7/2/2020'), ('4 star rating', '6/29/2020'), ('4 star rating', '6/22/2020'), ('4 star rating', '4/21/2020'), ('3 star rating', '3/23/2020'), ('4 star rating', '5/6/2019'), ('2 star rating', '6/18/2020'), ('1 star rating', '6/8/2020'), ('5 star rating', '5/14/2020'), ('5 star rating', '5/12/2020'), ('4 star rating', '5/7/2020'), ('5 star rating', '5/6/2020'), ('5 star rating', '9/4/2019'), ('3 star rating', '4/22/2020'), ('1 star rating', '4/19/2020'), ('5 star rating', '4/19/2020'), ('1 star rating', '4/4/2020')]",OBA Mediterranean Gyro & Grill,https://www.yelp.com/biz/oba-mediterranean-gyro-and-grill-forest-hills?osq=mediterranean&sort_by=date_desc
"371 Broome St, New York, NY 10013",4.0,"{'Mon': '5:30 pm - 11:00 pm', 'Tue': '5:30 pm - 11:00 pm', 'Wed': '5:30 pm - 11:00 pm', 'Thu': '5:30 pm - 11:00 pm', 'Fri': '5:30 pm - 12:00 am', 'Sat': '11:00 am - 12:00 am', 'Sun': '11:00 am - 11:00 pm'}",Mediterranean,"{'Outdoor seating': True, 'Delivery': True, 'Takeout': True, 'Curbside pickup': False}",Powered by HDScores,Elite '2020,mediterranean,"New York, NY",84,(646) 590-6800,,"[('4 star rating', '7/21/2020'), ('2 star rating', '7/19/2020'), ('4 star rating', '7/19/2020'), ('4 star rating', '7/18/2020'), ('1 star rating', '7/15/2020'), ('3 star rating', '7/4/2020'), ('1 star rating', '3/10/2020'), ('3 star rating', '3/8/2020'), ('5 star rating', '3/4/2020'), ('3 star rating', '3/1/2020'), ('4 star rating', '3/1/2020'), ('5 star rating', '2/27/2020'), ('5 star rating', '2/24/2020'), ('4 star rating', '2/24/2020'), ('5 star rating', '2/12/2020'), ('2 star rating', '2/1/2020'), ('5 star rating', '1/31/2020'), ('5 star rating', '1/15/2020'), ('5 star rating', '1/15/2020'), ('5 star rating', '1/15/2020')]",Shoo Shoo,https://www.yelp.com/biz/shoo-shoo-new-york?osq=mediterranean&sort_by=date_desc
"228 1st Ave, New York, NY 10009",4.0,"{'Mon': '12:00 pm - 11:00 pm', 'Tue': '12:00 pm - 11:00 pm', 'Wed': '12:00 pm - 11:00 pm', 'Thu': '12:00 pm - 11:00 pm', 'Fri': '12:00 pm - 11:30 pm', 'Sat': '12:00 pm - 11:30 pm', 'Sun': '12:00 pm - 10:30 pm'}","Greek,Seafood,Mediterranean","{'Delivery': True, 'Takeout': True}",Powered by HDScores,Elite '2020,mediterranean,"New York, NY",828,(212) 432-0011,$$,"[('1 star rating', '7/18/2020'), ('5 star rating', '7/10/2020'), ('5 star rating', '7/4/2020'), ('1 star rating', '6/25/2020'), ('3 star rating', '6/13/2020'), ('3 star rating', '5/27/2020'), ('3 star rating', '3/18/2018'), ('3 star rating', '4/30/2020'), ('5 star rating', '3/13/2020'), ('5 star rating', '3/15/2020'), ('4 star rating', '3/8/2020'), ('5 star rating', '3/5/2020'), ('5 star rating', '3/3/2020'), ('4 star rating', '2/27/2020'), ('5 star rating', '2/24/2020'), ('4 star rating', '2/22/2020'), ('5 star rating', '2/21/2020'), ('5 star rating', '2/17/2020'), ('5 star rating', '1/28/2020'), ('5 star rating', '1/18/2020'), ('5 star rating', '1/14/2020')]",Taverna Kyclades - East Village,https://www.yelp.com/biz/taverna-kyclades-east-village-new-york-2?osq=mediterranean&sort_by=date_desc
"161 E Houston St, New York, NY 10002",4.0,"{'Mon': '10:00 am - 12:00 am', 'Tue': '10:00 am - 12:00 am', 'Wed': '10:00 am - 12:00 am', 'Thu': '10:00 am - 12:00 am', 'Fri': '10:00 am - 1:30 am', 'Sat': '10:00 am - 1:30 am', 'Sun': '10:00 am - 11:00 pm'}","Mediterranean,Tapas/Small Plates,Breakfast & Brunch",{},Powered by HDScores,Contact the business for more information about recent service changes.,mediterranean,"New York, NY",599,(212) 933-4587,$$,"[('5 star rating', '4/29/2020'), ('5 star rating', '3/1/2020'), ('1 star rating', '2/16/2020'), ('2 star rating', '2/15/2020'), ('5 star rating', '1/23/2020'), ('4 star rating', '1/22/2020'), ('4 star rating', '1/6/2020'), ('3 star rating', '1/5/2020'), ('4 star rating', '1/4/2020'), ('2 star rating', '1/4/2020'), ('2 star rating', '1/4/2020'), ('5 star rating', '12/16/2019'), ('5 star rating', '12/11/2019'), ('5 star rating', '12/11/2019'), ('5 star rating', '12/4/2019'), ('5 star rating', '4/13/2017'), ('5 star rating', '12/1/2019'), ('1 star rating', '11/4/2019'), ('3 star rating', '10/25/2019'), ('2 star rating', '10/24/2019')]",Mezetto,https://www.yelp.com/biz/mezetto-new-york?osq=mediterranean&sort_by=date_desc
"279 Grand Street, Brooklyn, NY 11211",5.0,"{'Mon': '12:00 pm - 9:00 pm', 'Tue': '12:00 pm - 9:00 pm', 'Wed': '12:00 pm - 9:00 pm', 'Thu': '12:00 pm - 9:00 pm', 'Fri': '12:00 pm - 9:00 pm', 'Sat': '12:00 pm - 9:00 pm', 'Sun': '12:00 pm - 9:00 pm'}",Mediterranean,"{'Delivery': True, 'Takeout': True}",By Mari T.,,mediterranean,"New York, NY",2,(718) 302-9023,,"[('5 star rating', '7/19/2020')]",Sami & Susu,https://www.yelp.com/biz/sami-and-susu-brooklyn?osq=mediterranean&sort_by=date_desc
"1565 2nd Ave, New York, NY 10028",4.5,"{'Mon': '4:00 pm - 10:00 pm', 'Tue': '12:00 pm - 10:00 pm', 'Wed': '12:00 pm - 10:00 pm', 'Thu': '12:00 pm - 10:00 pm', 'Fri': '12:00 pm - 10:00 pm', 'Sat': '12:00 pm - 10:00 pm', 'Sun': '12:00 pm - 10:00 pm'}","Turkish,Mediterranean,Halal","{'Delivery': True, 'Takeout': True}",Powered by HDScores,Elite '2020,mediterranean,"New York, NY",554,(212) 717-1220,$$,"[('1 star rating', '7/22/2020'), ('4 star rating', '7/20/2020'), ('1 star rating', '7/17/2020'), ('5 star rating', '7/11/2020'), ('2 star rating', '7/11/2020'), ('5 star rating', '6/24/2020'), ('4 star rating', '6/7/2020'), ('1 star rating', '5/13/2020'), ('5 star rating', '6/23/2015'), ('4 star rating', '5/2/2020'), ('5 star rating', '3/19/2020'), ('5 star rating', '3/11/2020'), ('5 star rating', '3/7/2020'), ('5 star rating', '2/28/2020'), ('3 star rating', '2/28/2020'), ('5 star rating', '2/15/2020'), ('5 star rating', '2/15/2020'), ('5 star rating', '2/9/2020'), ('5 star rating', '2/8/2020'), ('5 star rating', '2/8/2020')]",Agora Turkish Restaurant,https://www.yelp.com/biz/agora-turkish-restaurant-new-york-2?osq=mediterranean&sort_by=date_desc
"144 West 37th St, New York, NY 10018",4.5,{},"Lebanese,Mediterranean,Halal","{'Delivery': True, 'Takeout': True}",Powered by HDScores,Elite '2020,mediterranean,"New York, NY",352,(212) 695-6969,$$,"[('5 star rating', '6/19/2020'), ('4 star rating', '5/18/2020'), ('4 star rating', '5/4/2020'), ('5 star rating', '5/6/2020'), ('4 star rating', '5/4/2020'), ('5 star rating', '2/28/2020'), ('5 star rating', '2/21/2020'), ('5 star rating', '1/29/2020'), ('5 star rating', '1/19/2020'), ('5 star rating', '1/11/2020'), ('5 star rating', '1/10/2020'), ('4 star rating', '12/31/2019'), ('5 star rating', '12/12/2019'), ('1 star rating', '12/11/2019'), ('2 star rating', '11/21/2019'), ('5 star rating', '10/4/2019'), ('5 star rating', '9/27/2019'), ('5 star rating', '9/22/2019'), ('5 star rating', '9/18/2019'), ('5 star rating', '9/9/2019')]",Balade - Your Way,https://www.yelp.com/biz/balade-your-way-new-york-2?osq=mediterranean&sort_by=date_desc
