address,avg_rating,business_hours,category,covid_services,covid_update_time,covid_updates_text,cuisine,location,num_reviews,phone_num,price_range,recent_reviews,restaurant_name,url
"2307 Manor Rd, Austin, TX 78722",4.5,"{'Mon': '4:00 pm - 9:00 pm', 'Tue': '4:00 pm - 9:00 pm', 'Wed': '4:00 pm - 9:00 pm', 'Thu': '4:00 pm - 9:00 pm', 'Fri': '4:00 pm - 9:00 pm', 'Sat': '4:00 pm - 9:00 pm', 'Sun': '4:00 pm - 9:00 pm'}",Italian,{'Curbside pickup': True},By Amanda S.,Elite '2020,italian,"Austin, TX",689,(512) 522-4834,$$,"[('5 star rating', '7/22/2020'), ('5 star rating', '7/16/2020'), ('5 star rating', '7/14/2020'), ('5 star rating', '6/8/2020'), ('5 star rating', '5/31/2020'), ('4 star rating', '5/30/2020'), ('5 star rating', '5/20/2020'), ('5 star rating', '5/18/2020'), ('5 star rating', '4/30/2020'), ('5 star rating', '4/28/2020'), ('5 star rating', '4/20/2020'), ('4 star rating', '4/11/2020'), ('4 star rating', '4/9/2020'), ('5 star rating', '4/8/2020'), ('5 star rating', '3/31/2020'), ('5 star rating', '3/31/2020'), ('4 star rating', '3/29/2020'), ('4 star rating', '3/24/2020'), ('5 star rating', '3/19/2020')]",Patrizi's,https://www.yelp.com/biz/patrizis-austin?osq=italian&sort_by=date_desc
"1201 S Church St, Georgetown, TX 78626",4.0,"{'Mon': '11:00 am - 9:00 pm', 'Tue': '11:00 am - 9:00 pm', 'Wed': '11:00 am - 9:00 pm', 'Thu': '11:00 am - 9:00 pm', 'Fri': '11:00 am - 10:00 pm', 'Sat': '11:00 am - 10:00 pm', 'Sun': '11:00 am - 9:00 pm'}","Italian,Mediterranean","{'Delivery': True, 'Takeout': True}",By J L.,Elite '2020,italian,"Austin, TX",336,(512) 864-2687,$$,"[('5 star rating', '7/21/2020'), ('5 star rating', '7/18/2020'), ('5 star rating', '7/16/2020'), ('5 star rating', '7/7/2020'), ('5 star rating', '7/6/2020'), ('5 star rating', '6/15/2020'), ('1 star rating', '6/14/2020'), ('5 star rating', '6/5/2020'), ('5 star rating', '5/18/2020'), ('5 star rating', '3/23/2020'), ('5 star rating', '3/8/2020'), ('4 star rating', '3/6/2020'), ('5 star rating', '2/14/2020'), ('5 star rating', '2/13/2020'), ('5 star rating', '2/9/2020'), ('5 star rating', '2/2/2020'), ('5 star rating', '1/30/2020'), ('4 star rating', '1/19/2020'), ('5 star rating', '1/8/2020')]",Tony And Luigi's Italian Mediterranean Restaurante,https://www.yelp.com/biz/tony-and-luigis-italian-mediterranean-restaurante-georgetown-2?osq=italian&sort_by=date_desc
"13308 Fm 150 W, Driftwood, TX 78619",4.0,"{'Mon': 'Closed', 'Tue': '4:00 pm - 9:00 pm', 'Wed': '4:00 pm - 9:00 pm', 'Thu': '4:00 pm - 9:00 pm', 'Fri': '11:00 am - 9:00 pm', 'Sat': '11:00 am - 9:00 pm', 'Sun': '11:00 am - 9:00 pm'}","Italian,Venues & Event Spaces,Beer, Wine & Spirits",{},By Christine A.,Contact the business for more information about recent service changes.,italian,"Austin, TX",540,(512) 894-3111,$$$,"[('5 star rating', '7/23/2020'), ('5 star rating', '7/21/2020'), ('5 star rating', '7/11/2020'), ('2 star rating', '6/16/2020'), ('4 star rating', '12/28/2019'), ('5 star rating', '6/13/2020'), ('5 star rating', '5/24/2020'), ('5 star rating', '3/11/2020'), ('2 star rating', '2/25/2020'), ('5 star rating', '2/22/2020'), ('3 star rating', '2/10/2020'), ('3 star rating', '2/9/2020'), ('5 star rating', '2/1/2020'), ('5 star rating', '1/26/2020'), ('5 star rating', '1/5/2020'), ('5 star rating', '1/3/2020'), ('2 star rating', '12/31/2019'), ('5 star rating', '12/12/2019'), ('5 star rating', '12/10/2019'), ('1 star rating', '11/30/2019')]",Trattoria Lisina,https://www.yelp.com/biz/trattoria-lisina-driftwood-2?osq=italian&sort_by=date_desc
"2400 E Cesar Chavez, Ste 304, Austin, TX 78702",4.0,"{'Mon': '5:00 pm - 10:00 pm', 'Tue': '5:00 pm - 10:00 pm', 'Wed': '5:00 pm - 10:00 pm', 'Thu': '5:00 pm - 10:00 pm', 'Fri': '5:00 pm - 10:00 pm', 'Sat': '5:00 pm - 10:00 pm', 'Sun': '5:00 pm - 10:00 pm'}","Italian,Modern European,American (New)","{'Delivery': False, 'Takeout': True, 'Curbside pickup': True}",Powered by HDScores,Elite '2020,italian,"Austin, TX",366,(512) 220-9421,$$,"[('4 star rating', '7/21/2020'), ('4 star rating', '7/10/2020'), ('5 star rating', '12/9/2015'), ('5 star rating', '7/10/2020'), ('1 star rating', '7/4/2020'), ('4 star rating', '7/1/2020'), ('5 star rating', '6/26/2020'), ('5 star rating', '6/19/2020'), ('5 star rating', '5/29/2020'), ('5 star rating', '5/27/2020'), ('5 star rating', '4/25/2020'), ('4 star rating', '4/18/2020'), ('5 star rating', '3/30/2020'), ('5 star rating', '11/22/2017'), ('5 star rating', '3/18/2020'), ('3 star rating', '3/18/2020'), ('3 star rating', '3/17/2020'), ('5 star rating', '3/7/2020'), ('3 star rating', '3/4/2020'), ('5 star rating', '3/2/2020'), ('2 star rating', '2/28/2020')]",Juniper,https://www.yelp.com/biz/juniper-austin?osq=italian&sort_by=date_desc
"1500 South Lamar Blvd, Ste 110, Austin, TX 78704",4.0,"{'Mon': 'Closed', 'Tue': '5:00 pm - 9:00 pm', 'Wed': '5:00 pm - 9:00 pm', 'Thu': '5:00 pm - 9:00 pm', 'Fri': '5:00 pm - 10:00 pm', 'Sat': '5:00 pm - 10:00 pm', 'Sun': '5:00 pm - 9:00 pm'}","Wine Bars,Italian,Cocktail Bars","{'Outdoor seating': True, 'Delivery': True, 'Takeout': True, 'Sit-down dining': True, 'Curbside pickup': True, 'Contactless payments': True, 'Staff wears gloves': True, 'Staff wears masks': True, 'Limited capacity': True, 'Hand sanitizer provided': True, 'Sanitizing between customers': True, 'Social distancing enforced': True, 'Temperature checks': True}","Posted on April 9, 2020","""It is our duty and responsibility to be a service to community.
We keep our doors open to serve you and urge you to be safe during these difficult times.
Curbside, Pick up or Delivery your choice.""",italian,"Austin, TX",234,(512) 482-8655,$$,"[('5 star rating', '7/22/2020'), ('3 star rating', '7/19/2020'), ('4 star rating', '7/12/2020'), ('3 star rating', '6/24/2020'), ('5 star rating', '7/1/2020'), ('3 star rating', '6/11/2020'), ('1 star rating', '6/13/2020'), ('5 star rating', '5/24/2020'), ('3 star rating', '5/20/2020'), ('5 star rating', '5/1/2020'), ('5 star rating', '4/5/2020'), ('5 star rating', '5/20/2018'), ('5 star rating', '4/4/2020'), ('2 star rating', '3/7/2020'), ('4 star rating', '2/27/2020'), ('5 star rating', '2/22/2020'), ('4 star rating', '2/21/2020'), ('3 star rating', '2/18/2020'), ('3 star rating', '2/17/2020'), ('1 star rating', '2/15/2020'), ('5 star rating', '2/15/2020'), ('4 star rating', '2/5/2020')]",It's Italian Cucina,https://www.yelp.com/biz/its-italian-cucina-austin?osq=italian&sort_by=date_desc
"1500 Barton Springs Rd, Austin, TX 78704",4.0,"{'Mon': '12:00 pm - 8:00 pm', 'Tue': '12:00 pm - 8:00 pm', 'Wed': '12:00 pm - 8:00 pm', 'Thu': '12:00 pm - 8:00 pm', 'Fri': '12:00 pm - 8:00 pm', 'Sat': '12:00 pm - 8:00 pm', 'Sun': '12:00 pm - 8:00 pm'}","Italian,Cocktail Bars,Desserts","{'Outdoor seating': True, 'Delivery': True, 'Takeout': True, 'Sit-down dining': True, 'Curbside pickup': True}",Powered by HDScores,Elite '2020,italian,"Austin, TX",557,(512) 479-1800,$$,"[('1 star rating', '7/20/2020'), ('5 star rating', '7/16/2020'), ('3 star rating', '7/8/2020'), ('2 star rating', '7/1/2020'), ('4 star rating', '6/27/2020'), ('5 star rating', '6/27/2020'), ('5 star rating', '6/25/2020'), ('5 star rating', '6/24/2020'), ('1 star rating', '6/18/2020'), ('4 star rating', '6/16/2020'), ('5 star rating', '6/15/2020'), ('5 star rating', '6/13/2020'), ('1 star rating', '6/8/2020'), ('4 star rating', '6/4/2020'), ('5 star rating', '6/2/2020'), ('5 star rating', '5/31/2020'), ('5 star rating', '5/31/2020'), ('5 star rating', '5/31/2020'), ('5 star rating', '5/30/2020')]",Juliet Italian Kitchen,https://www.yelp.com/biz/juliet-italian-kitchen-austin-2?osq=italian&sort_by=date_desc
"1900 Simond Ave, Austin, TX 78723",4.0,"{'Mon': '5:00 pm - 9:00 pm', 'Tue': '5:00 pm - 9:00 pm', 'Wed': '5:00 pm - 9:00 pm', 'Thu': '5:00 pm - 10:00 pm', 'Fri': '5:00 pm - 10:00 pm', 'Sat': '4:00 pm - 10:00 pm', 'Sun': '4:00 pm - 9:00 pm'}","Italian,Wine Bars",{'Delivery': True},"Posted on March 27, 2020","""L'Oca d'Oro will be closed until at least April 17.  We are grateful for everyone's support through this confusing time.  We will miss making pasta but believe it is more important to safeguard our staff and our customers from the virus until more is known.  In the meanti…""",italian,"Austin, TX",369,(737) 212-1876,$$$,"[('5 star rating', '6/9/2020'), ('5 star rating', '5/18/2020'), ('5 star rating', '5/15/2020'), ('5 star rating', '5/2/2020'), ('5 star rating', '4/30/2020'), ('5 star rating', '3/26/2020'), ('5 star rating', '3/7/2020'), ('5 star rating', '11/4/2018'), ('5 star rating', '6/23/2017'), ('5 star rating', '2/22/2020'), ('5 star rating', '2/21/2020'), ('5 star rating', '2/16/2020'), ('4 star rating', '2/9/2020'), ('5 star rating', '1/22/2020'), ('5 star rating', '1/18/2020'), ('5 star rating', '1/11/2020'), ('3 star rating', '1/1/2020'), ('4 star rating', '12/27/2019'), ('5 star rating', '12/23/2019'), ('5 star rating', '12/13/2019'), ('5 star rating', '11/30/2019')]",L'Oca d'Oro,https://www.yelp.com/biz/l-oca-d-oro-austin?osq=italian&sort_by=date_desc
"4301 W William Cannon Dr, DR E-1, Austin, TX 78749",3.5,"{'Mon': '11:00 am - 9:00 pm', 'Tue': '11:00 am - 9:00 pm', 'Wed': '11:00 am - 9:00 pm', 'Thu': '11:00 am - 9:00 pm', 'Fri': '11:00 am - 9:00 pm', 'Sat': '11:00 am - 9:00 pm', 'Sun': '11:00 am - 9:00 pm'}","Italian,Pizza","{'Delivery': True, 'Takeout': True, 'Curbside pickup': True}",Powered by HDScores,Elite '2020,italian,"Austin, TX",379,(512) 524-2222,$$,"[('2 star rating', '7/11/2020'), ('5 star rating', '6/29/2020'), ('5 star rating', '6/12/2020'), ('1 star rating', '6/5/2020'), ('5 star rating', '5/29/2020'), ('2 star rating', '5/26/2020'), ('5 star rating', '5/10/2020'), ('5 star rating', '4/14/2020'), ('3 star rating', '3/25/2020'), ('1 star rating', '3/3/2020'), ('2 star rating', '2/24/2020'), ('5 star rating', '2/15/2020'), ('1 star rating', '2/14/2020'), ('2 star rating', '2/9/2020'), ('1 star rating', '1/30/2020'), ('5 star rating', '1/29/2020'), ('5 star rating', '1/23/2020'), ('2 star rating', '12/31/2019'), ('4 star rating', '12/28/2019'), ('4 star rating', '12/19/2019')]",Mandola's Italian,https://www.yelp.com/biz/mandolas-italian-austin?osq=italian&sort_by=date_desc
"2612 E Cesar Chavez St, Austin, TX 78702",4.5,"{'Mon': 'Closed', 'Tue': 'Closed', 'Wed': 'Closed', 'Thu': '5:00 pm - 8:00 pm', 'Fri': '5:00 pm - 9:30 pm', 'Sat': '5:00 pm - 9:30 pm', 'Sun': '11:00 am - 2:00 pm'}","Italian,Desserts,Cocktail Bars","{'Outdoor seating': True, 'Delivery': True, 'Takeout': True, 'Sit-down dining': True, 'Curbside pickup': True, 'Virtual tasting sessions': True, 'Masks required': True, 'Staff wears masks': True, 'Limited capacity': True, 'Hand sanitizer provided': True, 'Sanitizing between customers': True, 'Social distancing enforced': True}",Powered by HDScores,Elite '2020,italian,"Austin, TX",212,(512) 599-4052,$$,"[('5 star rating', '6/26/2020'), ('5 star rating', '6/5/2020'), ('5 star rating', '6/1/2020'), ('5 star rating', '5/16/2020'), ('5 star rating', '5/14/2020'), ('5 star rating', '7/14/2018'), ('5 star rating', '4/17/2020'), ('5 star rating', '3/24/2020'), ('2 star rating', '3/22/2020'), ('5 star rating', '3/19/2020'), ('3 star rating', '3/14/2020'), ('5 star rating', '3/8/2020'), ('5 star rating', '2/26/2020'), ('5 star rating', '2/23/2020'), ('5 star rating', '2/22/2020'), ('2 star rating', '2/19/2020'), ('5 star rating', '2/15/2020'), ('5 star rating', '1/31/2020'), ('3 star rating', '1/29/2020'), ('5 star rating', '1/23/2020')]",Intero Restaurant,https://www.yelp.com/biz/intero-restaurant-austin?osq=italian&sort_by=date_desc
"452 W 2nd St, Austin, TX 78701",4.0,"{'Mon': '4:00 pm - 9:00 pm', 'Tue': '4:00 pm - 9:00 pm', 'Wed': '4:00 pm - 9:00 pm', 'Thu': '4:00 pm - 9:00 pm', 'Fri': '4:00 pm - 9:00 pm', 'Sat': '12:00 pm - 9:00 pm', 'Sun': '12:00 pm - 9:00 pm'}","Italian,Gelato,Pizza","{'Outdoor seating': True, 'Delivery': True, 'Takeout': True, 'Sit-down dining': True, 'Curbside pickup': True, 'Masks required': True, 'Staff wears masks': True, 'Limited capacity': True, 'Sanitizing between customers': True, 'Social distancing enforced': True}","Posted on June 22, 2020","""Open for dine-in, takeout, and delivery!

Enjoy authentic Italian favorites in the restaurant or on our patio, or for curbside takeout and delivery from 4-9 pm Monday - Friday, and 12-9pm Saturday & Sunday. Visit our website to see the menu and order online, or give us a…""",italian,"Austin, TX",389,(512) 494-5510,$$,"[('5 star rating', '7/19/2020'), ('4 star rating', '7/2/2020'), ('5 star rating', '6/15/2020'), ('5 star rating', '4/15/2020'), ('3 star rating', '3/8/2020'), ('4 star rating', '2/26/2020'), ('4 star rating', '2/17/2020'), ('5 star rating', '2/1/2020'), ('2 star rating', '1/26/2020'), ('5 star rating', '1/24/2020'), ('5 star rating', '1/19/2020'), ('5 star rating', '1/16/2020'), ('3 star rating', '1/14/2020'), ('5 star rating', '1/14/2020'), ('5 star rating', '1/11/2020'), ('5 star rating', '1/5/2020'), ('4 star rating', '1/5/2020'), ('1 star rating', '4/3/2017'), ('5 star rating', '1/3/2020'), ('5 star rating', '1/3/2020')]",Numero28,https://www.yelp.com/biz/numero28-austin?osq=italian&sort_by=date_desc
"10225 Research Blvd, Ste 110, Austin, TX 78759",3.5,"{'Mon': '4:00 pm - 9:00 pm', 'Tue': '4:00 pm - 9:00 pm', 'Wed': '4:00 pm - 9:00 pm', 'Thu': '4:00 pm - 9:00 pm', 'Fri': '4:00 pm - 9:00 pm', 'Sat': '4:00 pm - 9:00 pm', 'Sun': '4:00 pm - 9:00 pm'}","Pizza,Salad,Sandwiches","{'Delivery': True, 'Takeout': True, 'Curbside pickup': True}",Powered by HDScores,,italian,"Austin, TX",198,(512) 345-7492,$$,"[('5 star rating', '6/26/2020'), ('5 star rating', '6/16/2020'), ('5 star rating', '5/4/2020'), ('1 star rating', '4/17/2020'), ('4 star rating', '2/29/2020'), ('3 star rating', '2/25/2020'), ('3 star rating', '1/15/2019'), ('5 star rating', '1/20/2014'), ('5 star rating', '1/3/2020'), ('5 star rating', '12/28/2019'), ('3 star rating', '11/9/2019'), ('3 star rating', '9/15/2019'), ('5 star rating', '8/23/2019'), ('5 star rating', '8/10/2019'), ('4 star rating', '8/2/2019'), ('3 star rating', '7/5/2019'), ('5 star rating', '6/22/2019'), ('5 star rating', '4/28/2019'), ('5 star rating', '4/27/2019'), ('2 star rating', '4/10/2019'), ('1 star rating', '4/1/2019')]",Pizza Day,https://www.yelp.com/biz/pizza-day-austin-2?osq=italian&sort_by=date_desc
