address,avg_rating,business_hours,category,covid_services,covid_update_time,covid_updates_text,cuisine,location,num_reviews,phone_num,price_range,recent_reviews,restaurant_name,url
"1031 Irving St, San Francisco, CA 94122",4.0,"{'Mon': '11:00 am - 3:00 pm', 'Tue': '11:00 am - 3:00 pm', 'Wed': 'Closed', 'Thu': '11:00 am - 3:00 pm', 'Fri': '11:00 am - 3:00 pm', 'Sat': '11:00 am - 3:00 pm', 'Sun': '11:00 am - 3:00 pm'}","Chinese,Chicken Wings,Noodles","{'Delivery': True, 'Takeout': True}",Powered by HDScores,Elite '2020,chinese,"San Francisco, CA",6902,(415) 242-0828,$$,"[('5 star rating', '7/23/2020'), ('5 star rating', '7/22/2020'), ('5 star rating', '7/22/2020'), ('5 star rating', '7/22/2020'), ('5 star rating', '1/11/2019'), ('4 star rating', '7/21/2020'), ('2 star rating', '7/21/2020'), ('5 star rating', '7/20/2020'), ('4 star rating', '7/19/2020'), ('2 star rating', '7/19/2020'), ('5 star rating', '7/18/2020'), ('5 star rating', '7/18/2020'), ('3 star rating', '7/18/2020'), ('5 star rating', '7/18/2020'), ('5 star rating', '7/16/2020'), ('5 star rating', '7/15/2020'), ('5 star rating', '7/15/2020'), ('5 star rating', '7/14/2020'), ('5 star rating', '7/12/2020'), ('5 star rating', '7/12/2020')]",San Tung,https://www.yelp.com/biz/san-tung-san-francisco-2?osq=chinese&sort_by=date_desc
"3741 Geary Blvd, San Francisco, CA 94118",4.0,"{'Mon': '11:00 am - 9:30 pm', 'Tue': 'Closed', 'Wed': '11:00 am - 9:30 pm', 'Thu': '11:00 am - 9:30 pm', 'Fri': '11:00 am - 10:00 pm', 'Sat': '11:00 am - 10:00 pm', 'Sun': '11:00 am - 9:30 pm'}","Szechuan,Noodles","{'Delivery': True, 'Takeout': True}",Powered by HDScores,Elite '2020,chinese,"San Francisco, CA",158,(415) 668-5888,$$,"[('5 star rating', '7/16/2020'), ('5 star rating', '5/11/2020'), ('5 star rating', '5/7/2020'), ('5 star rating', '4/24/2020'), ('2 star rating', '2/19/2020'), ('1 star rating', '1/28/2020'), ('1 star rating', '1/27/2020'), ('2 star rating', '1/6/2020'), ('5 star rating', '1/4/2020'), ('2 star rating', '12/26/2019'), ('2 star rating', '12/12/2019'), ('5 star rating', '12/8/2019'), ('5 star rating', '12/4/2019'), ('5 star rating', '12/4/2019'), ('2 star rating', '11/2/2019'), ('4 star rating', '10/9/2019'), ('5 star rating', '9/21/2019'), ('5 star rating', '9/7/2019'), ('5 star rating', '9/7/2019'), ('2 star rating', '9/6/2019')]",General Tso Kitchen,https://www.yelp.com/biz/general-tso-kitchen-san-francisco-3?osq=chinese&sort_by=date_desc
"3914 Judah St, San Francisco, CA 94122",5.0,"{'Mon': '11:30 am - 8:30 pm', 'Tue': '11:30 am - 8:30 pm', 'Wed': '11:30 am - 8:30 pm', 'Thu': '11:30 am - 8:30 pm', 'Fri': '11:30 am - 8:30 pm', 'Sat': '11:30 am - 8:30 pm', 'Sun': '11:30 am - 8:30 pm'}","Chinese,Seafood","{'Outdoor seating': False, 'Delivery': True, 'Takeout': True}",By Ed U.,Elite '2020,chinese,"San Francisco, CA",25,(415) 702-9935,,"[('5 star rating', '7/23/2020'), ('4 star rating', '7/14/2020'), ('5 star rating', '6/21/2020'), ('5 star rating', '6/5/2020'), ('5 star rating', '5/10/2020'), ('5 star rating', '5/6/2020'), ('5 star rating', '4/20/2020'), ('4 star rating', '4/3/2020'), ('5 star rating', '3/15/2020'), ('4 star rating', '3/15/2020'), ('5 star rating', '3/14/2020'), ('5 star rating', '3/14/2020'), ('5 star rating', '3/10/2020'), ('5 star rating', '3/7/2020'), ('5 star rating', '3/5/2020'), ('5 star rating', '3/4/2020'), ('5 star rating', '2/18/2020'), ('5 star rating', '2/10/2020'), ('5 star rating', '2/9/2020')]",Mr Dragon,https://www.yelp.com/biz/mr-dragon-san-francisco-2?osq=chinese&sort_by=date_desc
"11 Division St, San Francisco, CA 94103",4.0,"{'Mon': '11:30 am - 8:30 pm', 'Tue': '11:30 am - 8:30 pm', 'Wed': '11:30 am - 8:30 pm', 'Thu': '11:30 am - 8:30 pm', 'Fri': '11:30 am - 8:30 pm', 'Sat': '10:30 am - 8:30 pm', 'Sun': '10:30 am - 8:30 pm'}","Dim Sum,Asian Fusion","{'Delivery': True, 'Takeout': True, 'Masks required': True, 'Staff wears gloves': True, 'Staff wears masks': True, 'Limited capacity': True, 'Sanitizing between customers': True, 'Social distancing enforced': True}",Powered by HDScores,Elite '2020,chinese,"San Francisco, CA",1874,(415) 525-4797,$$,"[('5 star rating', '7/23/2020'), ('5 star rating', '7/19/2020'), ('5 star rating', '7/19/2020'), ('1 star rating', '7/18/2020'), ('1 star rating', '7/17/2020'), ('1 star rating', '7/15/2020'), ('5 star rating', '7/9/2020'), ('4 star rating', '7/7/2020'), ('2 star rating', '7/6/2020'), ('4 star rating', '7/6/2020'), ('5 star rating', '7/5/2020'), ('5 star rating', '7/4/2020'), ('5 star rating', '7/3/2020'), ('5 star rating', '6/30/2020'), ('5 star rating', '6/29/2020'), ('5 star rating', '6/28/2020'), ('5 star rating', '6/27/2020'), ('4 star rating', '6/26/2020'), ('5 star rating', '6/23/2020')]",Dumpling Time,https://www.yelp.com/biz/dumpling-time-san-francisco?osq=chinese&sort_by=date_desc
"2794 Diamond St, San Francisco, CA 94131",4.0,"{'Mon': '11:00 am - 10:00 pm', 'Tue': '11:00 am - 10:00 pm', 'Wed': '11:00 am - 10:00 pm', 'Thu': '11:00 am - 10:00 pm', 'Fri': '11:00 am - 10:00 pm', 'Sat': '11:00 am - 10:00 pm', 'Sun': '11:00 am - 10:00 pm'}",Chinese,"{'Delivery': True, 'Takeout': True}",Powered by HDScores,,chinese,"San Francisco, CA",319,(415) 333-1331,$$,"[('1 star rating', '5/24/2020'), ('5 star rating', '5/8/2020'), ('1 star rating', '4/8/2020'), ('5 star rating', '4/6/2020'), ('5 star rating', '3/14/2020'), ('5 star rating', '2/23/2020'), ('4 star rating', '2/23/2020'), ('1 star rating', '2/22/2020'), ('2 star rating', '1/27/2020'), ('3 star rating', '1/25/2020'), ('5 star rating', '1/21/2020'), ('4 star rating', '12/7/2019'), ('5 star rating', '12/3/2019'), ('3 star rating', '11/28/2019'), ('4 star rating', '11/20/2019'), ('1 star rating', '11/12/2019'), ('1 star rating', '11/1/2019'), ('5 star rating', '10/30/2019'), ('5 star rating', '10/29/2019')]",Win Garden,https://www.yelp.com/biz/win-garden-san-francisco-3?osq=chinese&sort_by=date_desc
"1360 9th Ave, San Francisco, CA 94122",4.0,"{'Mon': '4:00 pm - 9:00 pm', 'Tue': '4:00 pm - 9:00 pm', 'Wed': '4:00 pm - 9:00 pm', 'Thu': '4:00 pm - 9:00 pm', 'Fri': '4:00 pm - 9:00 pm', 'Sat': '3:00 pm - 9:00 pm', 'Sun': '3:00 pm - 9:00 pm'}","Chinese,Noodles","{'Delivery': True, 'Takeout': True, 'Curbside pickup': True}",Powered by HDScores,,chinese,"San Francisco, CA",618,(415) 753-2900,$$,"[('5 star rating', '7/11/2020'), ('5 star rating', '6/28/2020'), ('1 star rating', '6/27/2020'), ('5 star rating', '6/7/2020'), ('5 star rating', '5/30/2020'), ('2 star rating', '5/30/2020'), ('1 star rating', '5/30/2020'), ('5 star rating', '5/26/2020'), ('5 star rating', '5/25/2020'), ('4 star rating', '5/23/2020'), ('5 star rating', '5/22/2020'), ('5 star rating', '5/20/2020'), ('5 star rating', '5/20/2020'), ('5 star rating', '5/19/2020'), ('5 star rating', '5/19/2020'), ('5 star rating', '5/17/2020'), ('5 star rating', '4/3/2016'), ('5 star rating', '5/16/2020'), ('4 star rating', '3/7/2018'), ('5 star rating', '5/15/2020'), ('5 star rating', '5/15/2020')]",Nan King Road Bistro,https://www.yelp.com/biz/nan-king-road-bistro-san-francisco?osq=chinese&sort_by=date_desc
"4401 Cabrillo St, San Francisco, CA 94121",3.5,"{'Mon': '11:00 am - 10:00 pm', 'Tue': '11:00 am - 10:00 pm', 'Wed': '11:00 am - 10:00 pm', 'Thu': '11:00 am - 10:00 pm', 'Fri': '11:00 am - 10:00 pm', 'Sat': '11:00 am - 10:00 pm', 'Sun': '11:00 am - 10:00 pm'}",Chinese,"{'Delivery': True, 'Takeout': True}",By Christine R.,Elite '2020,chinese,"San Francisco, CA",430,(415) 876-6898,$$,"[('5 star rating', '7/19/2020'), ('1 star rating', '7/5/2020'), ('4 star rating', '6/19/2020'), ('5 star rating', '5/30/2020'), ('5 star rating', '5/25/2020'), ('3 star rating', '5/8/2020'), ('4 star rating', '4/12/2020'), ('4 star rating', '3/4/2020'), ('3 star rating', '2/22/2020'), ('4 star rating', '2/13/2020'), ('4 star rating', '2/7/2020'), ('1 star rating', '2/2/2020'), ('4 star rating', '1/26/2020'), ('4 star rating', '1/23/2020'), ('4 star rating', '1/1/2020'), ('5 star rating', '11/27/2019'), ('2 star rating', '11/19/2019'), ('5 star rating', '11/17/2019'), ('2 star rating', '11/3/2019')]",Hakka Restaurant,https://www.yelp.com/biz/hakka-restaurant-san-francisco?osq=chinese&sort_by=date_desc
"707 Ellis St, San Francisco, CA 94109",4.5,"{'Mon': 'Closed', 'Tue': '9:00 am - 6:30 pm', 'Wed': '9:00 am - 6:30 pm', 'Thu': '9:00 am - 6:30 pm', 'Fri': '9:00 am - 6:30 pm', 'Sat': '9:00 am - 6:30 pm', 'Sun': 'Closed'}","Chinese,Vietnamese,Noodles",{'Takeout': True},Powered by HDScores,Elite '2020,chinese,"San Francisco, CA",955,(415) 771-2577,$$,"[('5 star rating', '7/22/2020'), ('5 star rating', '7/18/2020'), ('5 star rating', '12/29/2019'), ('5 star rating', '7/8/2020'), ('5 star rating', '7/7/2020'), ('5 star rating', '3/31/2020'), ('3 star rating', '3/28/2020'), ('5 star rating', '3/9/2020'), ('4 star rating', '3/8/2020'), ('5 star rating', '3/7/2020'), ('5 star rating', '2/28/2020'), ('5 star rating', '2/24/2020'), ('4 star rating', '2/19/2020'), ('4 star rating', '2/17/2020'), ('4 star rating', '2/17/2020'), ('4 star rating', '2/16/2020'), ('3 star rating', '2/1/2020'), ('4 star rating', '1/20/2020'), ('5 star rating', '1/31/2020'), ('4 star rating', '1/30/2020'), ('5 star rating', '1/24/2020')]",Hai Ky Noodles,https://www.yelp.com/biz/hai-ky-noodles-san-francisco?osq=chinese&sort_by=date_desc
"915 Kearny St, San Francisco, CA 94133",4.0,"{'Mon': '11:00 am - 9:00 pm', 'Tue': '11:00 am - 9:00 pm', 'Wed': '11:00 am - 9:00 pm', 'Thu': '11:00 am - 9:00 pm', 'Fri': '11:00 am - 9:00 pm', 'Sat': '11:00 am - 9:00 pm', 'Sun': '11:00 am - 9:00 pm'}","Noodles,Szechuan","{'Delivery': False, 'Takeout': True}",Powered by HDScores,Elite '2020,chinese,"San Francisco, CA",840,(415) 983-0888,$$,"[('4 star rating', '7/23/2020'), ('5 star rating', '7/17/2020'), ('5 star rating', '6/26/2020'), ('5 star rating', '6/20/2020'), ('3 star rating', '5/28/2020'), ('4 star rating', '5/16/2020'), ('5 star rating', '5/14/2020'), ('5 star rating', '5/9/2020'), ('5 star rating', '4/7/2020'), ('5 star rating', '3/31/2020'), ('4 star rating', '3/27/2020'), ('5 star rating', '3/13/2020'), ('4 star rating', '3/12/2020'), ('4 star rating', '3/10/2020'), ('4 star rating', '3/10/2020'), ('5 star rating', '3/9/2020'), ('1 star rating', '3/9/2020'), ('1 star rating', '12/30/2019'), ('5 star rating', '3/6/2020'), ('4 star rating', '3/1/2020')]",Chong Qing Xiao Mian,https://www.yelp.com/biz/chong-qing-xiao-mian-san-francisco?osq=chinese&sort_by=date_desc
"1307 Sutter St, San Francisco, CA 94109",4.0,"{'Mon': '4:00 pm - 10:00 pm', 'Tue': '11:00 am - 10:00 pm', 'Wed': '11:00 am - 10:00 pm', 'Thu': '11:00 am - 10:00 pm', 'Fri': '11:00 am - 10:00 pm', 'Sat': '11:30 am - 10:30 pm', 'Sun': '11:30 am - 10:30 pm'}","Chinese,Seafood,Soup","{'Delivery': True, 'Takeout': True}",Powered by HDScores,Elite '2020,chinese,"San Francisco, CA",606,(415) 771-2142,$,"[('5 star rating', '6/29/2020'), ('4 star rating', '6/16/2020'), ('2 star rating', '5/29/2020'), ('4 star rating', '5/26/2020'), ('5 star rating', '5/8/2020'), ('5 star rating', '4/26/2020'), ('4 star rating', '12/16/2019'), ('5 star rating', '4/17/2020'), ('5 star rating', '4/5/2020'), ('5 star rating', '3/25/2020'), ('5 star rating', '3/20/2020'), ('5 star rating', '2/20/2020'), ('1 star rating', '2/13/2020'), ('5 star rating', '1/19/2020'), ('2 star rating', '1/16/2020'), ('1 star rating', '1/1/2020'), ('5 star rating', '12/31/2019'), ('3 star rating', '12/26/2019'), ('2 star rating', '12/8/2019'), ('1 star rating', '12/7/2019')]",Wok Shop Cafe,https://www.yelp.com/biz/wok-shop-cafe-san-francisco?osq=chinese&sort_by=date_desc
