address,avg_rating,business_hours,category,covid_services,covid_update_time,covid_updates_text,cuisine,location,num_reviews,phone_num,price_range,recent_reviews,restaurant_name,url
"3001 Palm Way, Ste 120, Austin, TX 78758",4.5,"{'Mon': '11:00 am - 9:00 pm', 'Tue': '11:00 am - 9:00 pm', 'Wed': '11:00 am - 9:00 pm', 'Thu': '11:00 am - 9:00 pm', 'Fri': '11:00 am - 9:00 pm', 'Sat': '11:00 am - 9:00 pm', 'Sun': '11:00 am - 9:00 pm'}","American (New),Bars","{'Outdoor seating': True, 'Delivery': True, 'Takeout': True, 'Sit-down dining': True, 'Curbside pickup': True, 'Masks required': True, 'Staff wears gloves': True, 'Staff wears masks': True, 'Limited capacity': True, 'Hand sanitizer provided': True, 'Social distancing enforced': True}","Posted on May 20, 2020","""Now open for dine in, delivery and take out as of 5/20/20.""",american,"Austin, TX",484,(512) 672-8400,$$,"[('5 star rating', '7/20/2020'), ('5 star rating', '7/12/2020'), ('4 star rating', '7/10/2020'), ('4 star rating', '7/7/2020'), ('4 star rating', '7/5/2020'), ('5 star rating', '7/5/2020'), ('1 star rating', '6/18/2020'), ('1 star rating', '10/21/2019'), ('5 star rating', '6/14/2020'), ('2 star rating', '6/6/2020'), ('4 star rating', '5/29/2020'), ('4 star rating', '5/29/2020'), ('1 star rating', '5/9/2020'), ('4 star rating', '4/30/2020'), ('5 star rating', '4/25/2020'), ('5 star rating', '3/21/2020'), ('3 star rating', '3/18/2020'), ('5 star rating', '3/11/2020'), ('3 star rating', '3/9/2020'), ('4 star rating', '3/8/2020')]",Doc B's Restaurant + Bar,https://www.yelp.com/biz/doc-bs-restaurant-bar-austin?osq=american&sort_by=date_desc
"1104 E 11th St, Austin, TX 78702",4.5,"{'Mon': '12:00 pm - 9:00 pm', 'Tue': '12:00 pm - 9:00 pm', 'Wed': '12:00 pm - 9:00 pm', 'Thu': '12:00 pm - 9:00 pm', 'Fri': '12:00 pm - 9:00 pm', 'Sat': '12:00 pm - 9:00 pm', 'Sun': '12:00 pm - 9:00 pm'}","American (Traditional),Waffles,Chicken Wings","{'Outdoor seating': False, 'Delivery': True, 'Takeout': True, 'Sit-down dining': True}","Posted on May 8, 2020","""We’re open during covid-19 for Take out and delivery through grubhub, doordash and Uber! 

Call ahead and pick up. We also sell drinks Togo,  starting may 8th, you can dine in. Please limit to small groups of less than 4 people. Thanks""",american,"Austin, TX",19,(512) 401-3515,,"[('5 star rating', '7/24/2020'), ('1 star rating', '7/16/2020'), ('5 star rating', '7/12/2020'), ('5 star rating', '7/12/2020'), ('5 star rating', '7/12/2020'), ('5 star rating', '7/9/2020'), ('5 star rating', '6/28/2020'), ('5 star rating', '6/26/2020'), ('4 star rating', '6/25/2020'), ('5 star rating', '6/21/2020'), ('5 star rating', '6/19/2020'), ('5 star rating', '6/15/2020'), ('5 star rating', '6/15/2020'), ('4 star rating', '6/6/2020'), ('1 star rating', '6/6/2020'), ('5 star rating', '6/3/2020'), ('5 star rating', '6/2/2020'), ('5 star rating', '5/8/2020')]",The Rolling Rooster - Victory Grill,https://www.yelp.com/biz/the-rolling-rooster-victory-grill-austin?osq=american&sort_by=date_desc
"1400 E 38th 1/2 St, Austin, TX 78722",4.0,"{'Mon': '8:00 am - 10:00 pm', 'Tue': '8:00 am - 10:00 pm', 'Wed': '8:00 am - 10:00 pm', 'Thu': '8:00 am - 10:00 pm', 'Fri': '8:00 am - 10:00 pm', 'Sat': '8:00 am - 10:00 pm', 'Sun': '8:00 am - 10:00 pm'}","Coffee & Tea,Breakfast & Brunch,Beer Bar","{'Delivery': True, 'Takeout': True}",Powered by HDScores,Elite '2020,american,"Austin, TX",760,(512) 538-1991,$,"[('4 star rating', '7/17/2020'), ('3 star rating', '7/15/2020'), ('3 star rating', '7/6/2020'), ('5 star rating', '7/4/2020'), ('5 star rating', '6/21/2020'), ('2 star rating', '6/15/2020'), ('5 star rating', '4/19/2020'), ('5 star rating', '4/5/2020'), ('5 star rating', '3/19/2020'), ('5 star rating', '3/17/2020'), ('5 star rating', '3/2/2020'), ('5 star rating', '2/29/2020'), ('4 star rating', '2/23/2020'), ('4 star rating', '2/19/2020'), ('4 star rating', '2/16/2020'), ('3 star rating', '2/13/2020'), ('3 star rating', '1/31/2020'), ('5 star rating', '1/28/2020'), ('4 star rating', '4/17/2017'), ('4 star rating', '1/25/2020')]",Cherrywood Coffeehouse,https://www.yelp.com/biz/cherrywood-coffeehouse-austin?osq=american&sort_by=date_desc
"5408 Burnet Rd, Austin, TX 78756",3.5,"{'Mon': '11:00 am - 8:00 pm', 'Tue': '11:00 am - 8:00 pm', 'Wed': '11:00 am - 8:00 pm', 'Thu': '11:00 am - 8:00 pm', 'Fri': '11:00 am - 8:00 pm', 'Sat': '11:00 am - 8:00 pm', 'Sun': '11:00 am - 8:00 pm'}",American (Traditional),"{'Delivery': True, 'Takeout': True, 'Curbside pickup': True}",Powered by HDScores,Elite '2020,american,"Austin, TX",593,(512) 514-0664,$$,"[('1 star rating', '7/6/2020'), ('2 star rating', '6/7/2020'), ('5 star rating', '5/27/2020'), ('2 star rating', '5/8/2020'), ('1 star rating', '5/2/2020'), ('3 star rating', '4/19/2020'), ('5 star rating', '4/1/2020'), ('5 star rating', '3/25/2020'), ('1 star rating', '3/2/2020'), ('5 star rating', '2/29/2020'), ('3 star rating', '2/26/2020'), ('4 star rating', '2/25/2020'), ('1 star rating', '2/22/2020'), ('3 star rating', '2/20/2020'), ('4 star rating', '1/19/2020'), ('3 star rating', '1/19/2020'), ('5 star rating', '12/29/2019'), ('4 star rating', '12/18/2019'), ('4 star rating', '12/14/2019'), ('2 star rating', '12/13/2019')]",Lucy's Fried Chicken,https://www.yelp.com/biz/lucys-fried-chicken-austin-4?osq=american&sort_by=date_desc
"1300 E 7th St, Austin, TX 78702",4.0,"{'Mon': '10:00 am - 10:00 pm', 'Tue': '10:00 am - 10:00 pm', 'Wed': '10:00 am - 10:00 pm', 'Thu': '10:00 am - 10:00 pm', 'Fri': '10:00 am - 11:00 pm', 'Sat': '10:00 am - 11:00 pm', 'Sun': '10:00 am - 3:00 pm'}","Gluten-Free,Cocktail Bars,Tacos","{'Delivery': True, 'Takeout': True}",Powered by HDScores,Elite '2020,american,"Austin, TX",139,(512) 628-0184,$$,"[('1 star rating', '6/25/2020'), ('4 star rating', '6/20/2020'), ('5 star rating', '6/19/2020'), ('5 star rating', '6/16/2020'), ('5 star rating', '6/11/2020'), ('5 star rating', '6/2/2020'), ('5 star rating', '5/30/2020'), ('5 star rating', '5/20/2020'), ('4 star rating', '4/23/2020'), ('5 star rating', '4/1/2020'), ('5 star rating', '3/11/2020'), ('3 star rating', '3/6/2020'), ('5 star rating', '2/22/2020'), ('5 star rating', '2/17/2020'), ('1 star rating', '2/15/2020'), ('4 star rating', '10/2/2019'), ('3 star rating', '2/15/2020'), ('5 star rating', '2/1/2020'), ('5 star rating', '1/29/2020'), ('5 star rating', '1/10/2020')]",Wilder Wood Restaurant & Bar,https://www.yelp.com/biz/wilder-wood-restaurant-and-bar-austin-3?osq=american&sort_by=date_desc
"2500 Hoppe Trl, Round Rock, TX 78681",4.5,"{'Mon': '11:00 am - 9:00 pm', 'Tue': '11:00 am - 9:00 pm', 'Wed': '11:00 am - 9:00 pm', 'Thu': '11:00 am - 9:00 pm', 'Fri': '11:00 am - 10:00 pm', 'Sat': '11:00 am - 10:00 pm', 'Sun': '10:00 am - 2:00 pm'}","Southern,American (Traditional)","{'Delivery': False, 'Takeout': True, 'Sit-down dining': True, 'Curbside pickup': True}","Posted on June 9, 2020","""All locations are now reopen for dine in service during our current business hours from 3-9pm daily and 3-10pm on Fridays and Saturdays (until further notice)

JAK will continue offering curbside service during our current business hours daily!

Our Round Rock location is…""",american,"Austin, TX",1737,(512) 215-0372,$$,"[('5 star rating', '7/23/2020'), ('1 star rating', '7/20/2020'), ('5 star rating', '7/18/2020'), ('5 star rating', '7/12/2020'), ('5 star rating', '7/12/2020'), ('3 star rating', '7/12/2020'), ('5 star rating', '7/11/2020'), ('4 star rating', '7/5/2020'), ('3 star rating', '7/4/2020'), ('5 star rating', '6/29/2020'), ('5 star rating', '6/29/2020'), ('5 star rating', '6/27/2020'), ('5 star rating', '10/10/2019'), ('5 star rating', '6/27/2020'), ('5 star rating', '6/25/2020'), ('5 star rating', '6/21/2020'), ('4 star rating', '6/9/2020'), ('5 star rating', '6/9/2020'), ('5 star rating', '5/25/2020'), ('5 star rating', '8/29/2019'), ('4 star rating', '5/24/2020')]",Jack Allens Kitchen - Round Rock,https://www.yelp.com/biz/jack-allens-kitchen-round-rock-round-rock-5?osq=american&sort_by=date_desc
"2617 S Ih 35, Austin, TX 78741",3.5,"{'Mon': '5:30 am - 9:00 pm', 'Tue': '5:30 am - 9:00 pm', 'Wed': '5:30 am - 9:00 pm', 'Thu': '5:30 am - 9:00 pm', 'Fri': '5:30 am - 10:00 pm', 'Sat': '5:30 am - 10:00 pm', 'Sun': '6:30 am - 9:00 pm'}","Barbeque,Breakfast & Brunch","{'Delivery': True, 'Takeout': True}",Powered by HDScores,Elite '2020,american,"Austin, TX",124,(512) 382-6720,$$,"[('5 star rating', '7/20/2020'), ('4 star rating', '6/26/2020'), ('2 star rating', '6/25/2020'), ('5 star rating', '6/17/2020'), ('1 star rating', '5/20/2020'), ('2 star rating', '5/2/2020'), ('3 star rating', '4/26/2020'), ('5 star rating', '1/15/2020'), ('4 star rating', '12/8/2019'), ('4 star rating', '11/26/2019'), ('1 star rating', '11/24/2019'), ('4 star rating', '11/18/2019'), ('5 star rating', '11/17/2019'), ('5 star rating', '10/5/2019'), ('1 star rating', '9/27/2019'), ('4 star rating', '7/5/2019'), ('5 star rating', '7/1/2019'), ('2 star rating', '6/20/2019'), ('4 star rating', '6/1/2019')]",Donn's BBQ & Catering,https://www.yelp.com/biz/donns-bbq-and-catering-austin-2?osq=american&sort_by=date_desc
"1401 E 7th St, Austin, TX 78702",5.0,"{'Mon': '8:00 am - 3:00 pm', 'Tue': '8:00 am - 3:00 pm', 'Wed': '8:00 am - 3:00 pm', 'Thu': '8:00 am - 3:00 pm', 'Fri': '8:00 am - 3:00 pm', 'Sat': '8:00 am - 3:00 pm', 'Sun': '8:30 am - 3:00 pm'}","Food Trucks,Tacos,Breakfast & Brunch","{'Delivery': True, 'Takeout': True}",By Chris M.,Elite '2020,american,"Austin, TX",245,(512) 701-4000,$,"[('5 star rating', '7/23/2020'), ('5 star rating', '7/21/2020'), ('5 star rating', '7/21/2020'), ('4 star rating', '7/20/2020'), ('5 star rating', '7/20/2020'), ('5 star rating', '7/20/2020'), ('5 star rating', '7/14/2020'), ('5 star rating', '7/13/2020'), ('5 star rating', '7/10/2020'), ('5 star rating', '7/4/2020'), ('5 star rating', '7/4/2020'), ('5 star rating', '6/29/2020'), ('5 star rating', '6/26/2020'), ('5 star rating', '6/20/2020'), ('5 star rating', '6/16/2020'), ('5 star rating', '6/12/2020'), ('4 star rating', '6/10/2020'), ('1 star rating', '6/6/2020'), ('3 star rating', '6/5/2020')]",Granny's Tacos,https://www.yelp.com/biz/grannys-tacos-austin?osq=american&sort_by=date_desc
"621 Congress Ave, Austin, TX 78701",4.0,"{'Mon': '7:00 am - 11:00 am', 'Tue': '7:00 am - 11:00 am', 'Wed': '7:00 am - 11:00 am', 'Thu': '7:00 am - 11:00 am', 'Fri': '7:00 am - 11:00 am', 'Sat': '7:00 am - 10:00 pm', 'Sun': '7:00 am - 4:00 pm'}","Bakeries,Coffee Roasteries,American (New)","{'Outdoor seating': True, 'Sit-down dining': True, 'Curbside pickup': True, 'Masks required': True, 'Staff wears masks': True, 'Limited capacity': True, 'Hand sanitizer provided': True, 'Sanitizing between customers': True, 'Social distancing enforced': True}","Posted on June 25, 2020","""Caroline patio and dining room NOW OPEN for dine in service!""",american,"Austin, TX",733,(512) 982-6766,$$,"[('5 star rating', '7/18/2020'), ('5 star rating', '4/5/2020'), ('5 star rating', '5/11/2019'), ('4 star rating', '3/16/2020'), ('5 star rating', '3/14/2020'), ('5 star rating', '3/14/2020'), ('5 star rating', '3/12/2020'), ('4 star rating', '3/7/2020'), ('1 star rating', '3/6/2020'), ('5 star rating', '3/3/2020'), ('3 star rating', '3/3/2020'), ('5 star rating', '3/1/2020'), ('5 star rating', '3/1/2020'), ('5 star rating', '3/1/2020'), ('5 star rating', '2/29/2020'), ('5 star rating', '2/29/2020'), ('5 star rating', '2/29/2020'), ('5 star rating', '2/29/2020'), ('5 star rating', '2/29/2020'), ('5 star rating', '2/28/2020')]",Caroline,https://www.yelp.com/biz/caroline-austin?osq=american&sort_by=date_desc
"6550 Comanche Trl, Fl 3, Austin, TX 78732",4.0,"{'Mon': '12:00 pm - 10:00 pm', 'Tue': 'Closed', 'Wed': '12:00 pm - 10:00 pm', 'Thu': '12:00 pm - 10:00 pm', 'Fri': '12:00 pm - 10:00 pm', 'Sat': '12:00 pm - 10:00 pm', 'Sun': '12:00 pm - 10:00 pm'}","Breweries,Sandwiches,Burgers",{'Takeout': True},Powered by HDScores,Elite '2020,american,"Austin, TX",335,(512) 284-9407,$$,"[('4 star rating', '7/20/2020'), ('5 star rating', '7/4/2020'), ('5 star rating', '7/3/2020'), ('5 star rating', '6/23/2020'), ('3 star rating', '6/22/2020'), ('4 star rating', '6/21/2020'), ('2 star rating', '6/18/2020'), ('5 star rating', '6/12/2020'), ('5 star rating', '6/7/2020'), ('5 star rating', '6/3/2020'), ('5 star rating', '5/30/2020'), ('4 star rating', '4/29/2020'), ('5 star rating', '4/4/2020'), ('1 star rating', '3/20/2020'), ('4 star rating', '3/12/2020'), ('4 star rating', '3/4/2020'), ('4 star rating', '2/22/2020'), ('3 star rating', '2/21/2020'), ('5 star rating', '2/19/2020')]",Oasis Texas Brewing Company,https://www.yelp.com/biz/oasis-texas-brewing-company-austin?osq=american&sort_by=date_desc
