address,avg_rating,business_hours,category,covid_services,covid_update_time,covid_updates_text,cuisine,location,num_reviews,phone_num,price_range,recent_reviews,restaurant_name,url
"102 Norfolk St, New York, NY 10002",4.5,"{'Mon': '3:00 pm - 10:00 pm', 'Tue': '3:00 pm - 10:00 pm', 'Wed': '3:00 pm - 10:00 pm', 'Thu': '12:00 pm - 10:00 pm', 'Fri': '12:00 pm - 10:00 pm', 'Sat': '12:00 pm - 10:00 pm', 'Sun': '12:00 pm - 10:00 pm'}","Mexican,Bars,Breakfast & Brunch","{'Outdoor seating': True, 'Delivery': True, 'Sit-down dining': False, 'Curbside pickup': True, 'Masks required': True, 'Staff wears gloves': True, 'Staff wears masks': True, 'Hand sanitizer provided': True, 'Sanitizing between customers': True, 'Social distancing enforced': True}","Posted on June 24, 2020","""Thanks to NYC’s Open Restaurant Program, we are back with limited outdoor seating. We look forward to seeing you soon!""",mexican,"New York, NY",744,(212) 432-4180,$$,"[('1 star rating', '7/21/2020'), ('5 star rating', '5/15/2020'), ('4 star rating', '4/13/2020'), ('4 star rating', '4/5/2020'), ('5 star rating', '3/14/2020'), ('5 star rating', '3/4/2020'), ('5 star rating', '2/29/2020'), ('5 star rating', '2/27/2020'), ('5 star rating', '2/22/2020'), ('5 star rating', '2/20/2020'), ('5 star rating', '2/17/2020'), ('5 star rating', '2/15/2020'), ('1 star rating', '2/8/2020'), ('5 star rating', '2/8/2020'), ('5 star rating', '2/6/2020'), ('5 star rating', '2/4/2020'), ('5 star rating', '12/9/2018'), ('5 star rating', '2/3/2020'), ('4 star rating', '2/2/2020'), ('5 star rating', '1/29/2020'), ('5 star rating', '1/21/2020')]",La Contenta,https://www.yelp.com/biz/la-contenta-new-york?osq=mexican&sort_by=date_desc
"5 Front St, Brooklyn, NY 11201",3.5,"{'Mon': '5:30 pm - 10:30 pm', 'Tue': '5:30 pm - 10:30 pm', 'Wed': '5:30 pm - 10:30 pm', 'Thu': '5:30 pm - 10:30 pm', 'Fri': '5:30 pm - 11:30 pm', 'Sat': '11:00 am - 11:30 pm', 'Sun': '11:00 am - 10:30 pm'}","Mexican,Breakfast & Brunch,Cocktail Bars","{'Outdoor seating': True, 'Delivery': True, 'Takeout': True, 'Sit-down dining': True, 'Curbside pickup': False}",Powered by HDScores,Elite '2020,mexican,"New York, NY",479,(718) 852-2700,$$,"[('5 star rating', '7/13/2020'), ('5 star rating', '7/5/2020'), ('1 star rating', '6/17/2020'), ('5 star rating', '6/16/2020'), ('4 star rating', '4/28/2020'), ('4 star rating', '4/28/2020'), ('3 star rating', '2/8/2020'), ('4 star rating', '1/21/2020'), ('3 star rating', '1/1/2020'), ('5 star rating', '12/24/2019'), ('5 star rating', '12/13/2019'), ('5 star rating', '12/7/2019'), ('1 star rating', '12/6/2019'), ('4 star rating', '11/22/2019'), ('2 star rating', '11/3/2019'), ('4 star rating', '10/14/2019'), ('3 star rating', '10/10/2019'), ('5 star rating', '10/4/2019'), ('1 star rating', '9/28/2019')]",Gran Electrica,https://www.yelp.com/biz/gran-electrica-brooklyn-3?osq=mexican&sort_by=date_desc
"129 2nd Ave, New York, NY 10003",4.0,"{'Mon': '12:00 pm - 12:00 am', 'Tue': '12:00 pm - 1:00 am', 'Wed': '12:00 pm - 1:00 am', 'Thu': '12:00 pm - 2:00 am', 'Fri': '12:00 pm - 4:00 am', 'Sat': '12:00 pm - 4:00 am', 'Sun': '12:00 pm - 12:00 am'}",Mexican,"{'Delivery': True, 'Takeout': True}",Powered by HDScores,Elite '2020,mexican,"New York, NY",725,(646) 422-7871,$,"[('3 star rating', '7/15/2020'), ('2 star rating', '7/13/2020'), ('4 star rating', '5/25/2020'), ('5 star rating', '3/31/2020'), ('5 star rating', '2/7/2020'), ('5 star rating', '12/18/2019'), ('3 star rating', '12/1/2019'), ('1 star rating', '11/15/2019'), ('5 star rating', '11/9/2019'), ('2 star rating', '11/7/2019'), ('1 star rating', '11/3/2019'), ('1 star rating', '10/23/2019'), ('5 star rating', '9/29/2019'), ('2 star rating', '9/26/2019'), ('5 star rating', '9/25/2019'), ('1 star rating', '9/20/2019'), ('3 star rating', '9/11/2019'), ('5 star rating', '9/1/2019'), ('4 star rating', '8/27/2019')]",Taqueria Diana,https://www.yelp.com/biz/taqueria-diana-new-york?osq=mexican&sort_by=date_desc
"568 Myrtle Ave, Brooklyn, NY 11205",4.0,"{'Mon': '10:00 am - 11:00 pm', 'Tue': '10:00 am - 11:00 pm', 'Wed': '10:00 am - 11:00 pm', 'Thu': '10:00 am - 11:00 pm', 'Fri': '10:00 am - 11:00 pm', 'Sat': '10:00 am - 11:00 pm', 'Sun': '10:00 am - 11:00 pm'}",Mexican,{},Powered by HDScores,Contact the business for more information about recent service changes.,mexican,"New York, NY",217,(718) 636-8878,$,"[('5 star rating', '7/18/2020'), ('1 star rating', '5/5/2020'), ('1 star rating', '2/28/2020'), ('5 star rating', '2/7/2020'), ('5 star rating', '12/19/2019'), ('1 star rating', '10/19/2019'), ('3 star rating', '9/30/2019'), ('2 star rating', '8/25/2019'), ('4 star rating', '5/27/2018'), ('5 star rating', '12/25/2017'), ('5 star rating', '7/13/2019'), ('5 star rating', '7/13/2019'), ('2 star rating', '6/23/2019'), ('5 star rating', '4/26/2019'), ('5 star rating', '4/13/2019'), ('5 star rating', '4/11/2019'), ('5 star rating', '3/13/2019'), ('5 star rating', '12/16/2018'), ('2 star rating', '11/29/2018'), ('5 star rating', '8/20/2018'), ('5 star rating', '8/7/2018')]",Taqueria Tepango,https://www.yelp.com/biz/taqueria-tepango-brooklyn?osq=mexican&sort_by=date_desc
"434 7th Ave, Brooklyn, NY 11215",4.0,"{'Mon': '4:00 pm - 9:00 pm', 'Tue': '4:00 pm - 9:00 pm', 'Wed': '4:00 pm - 9:00 pm', 'Thu': '4:00 pm - 9:00 pm', 'Fri': '4:00 pm - 9:00 pm', 'Sat': '4:00 pm - 9:00 pm', 'Sun': 'Closed'}","Mexican,Salad,Breakfast & Brunch","{'Delivery': True, 'Takeout': True, 'Curbside pickup': False}",By Morlene C.,Elite '2020,mexican,"New York, NY",799,(718) 369-3144,$$,"[('5 star rating', '7/6/2020'), ('5 star rating', '6/25/2020'), ('3 star rating', '6/11/2020'), ('4 star rating', '4/21/2020'), ('4 star rating', '2/5/2020'), ('4 star rating', '1/24/2020'), ('1 star rating', '8/16/2019'), ('5 star rating', '1/1/2020'), ('5 star rating', '12/28/2019'), ('4 star rating', '12/22/2019'), ('1 star rating', '11/24/2019'), ('1 star rating', '11/22/2019'), ('5 star rating', '11/17/2019'), ('5 star rating', '11/7/2019'), ('5 star rating', '10/27/2019'), ('1 star rating', '10/27/2019'), ('4 star rating', '10/7/2019'), ('5 star rating', '9/25/2019'), ('5 star rating', '9/7/2019'), ('5 star rating', '5/11/2019'), ('5 star rating', '9/1/2019')]",Fonda Park Slope,https://www.yelp.com/biz/fonda-park-slope-brooklyn?osq=mexican&sort_by=date_desc
"241 S 4th St, Brooklyn, NY 11211",4.5,"{'Mon': '3:00 pm - 9:00 pm', 'Tue': '3:00 pm - 9:00 pm', 'Wed': '3:00 pm - 9:00 pm', 'Thu': '3:00 pm - 9:00 pm', 'Fri': '3:00 pm - 9:00 pm', 'Sat': '3:00 pm - 9:00 pm', 'Sun': '3:00 pm - 9:00 pm'}","Mexican,Tapas/Small Plates","{'Delivery': True, 'Takeout': True}","Posted on April 22, 2020","""The Xixa team knows just how difficult a period this has been for everyone- some more than others. But we miss seeing you & cooking for you. Don't get us wrong, we were happy to catch up on 'tiger king,' but that ended up just depressing us more. So, to cheer us up (and h…""",mexican,"New York, NY",578,(718) 388-8860,$$$,"[('5 star rating', '7/19/2020'), ('5 star rating', '7/13/2020'), ('5 star rating', '6/20/2020'), ('5 star rating', '6/4/2020'), ('5 star rating', '5/16/2020'), ('5 star rating', '9/20/2017'), ('4 star rating', '4/16/2014'), ('5 star rating', '4/29/2020'), ('5 star rating', '3/16/2020'), ('5 star rating', '2/15/2020'), ('5 star rating', '2/13/2020'), ('5 star rating', '1/9/2020'), ('5 star rating', '12/30/2019'), ('4 star rating', '12/24/2019'), ('5 star rating', '12/8/2019'), ('5 star rating', '12/7/2019'), ('5 star rating', '11/10/2019'), ('4 star rating', '11/8/2019'), ('3 star rating', '11/4/2019'), ('3 star rating', '11/3/2019'), ('4 star rating', '11/4/2019'), ('5 star rating', '11/3/2019')]",Xixa,https://www.yelp.com/biz/xixa-brooklyn?osq=mexican&sort_by=date_desc
"8618 3rd Ave, Brooklyn, NY 11209",4.0,"{'Mon': '11:00 am - 12:00 am', 'Tue': '11:00 am - 12:00 am', 'Wed': '11:00 am - 12:00 am', 'Thu': '11:00 am - 1:00 am', 'Fri': '11:00 am - 1:00 am', 'Sat': '11:00 am - 1:00 am', 'Sun': '11:00 am - 12:00 am'}","Mexican,Tex-Mex","{'Delivery': True, 'Takeout': True}",By Cristina G.,Elite '2020,mexican,"New York, NY",784,(718) 680-8226,$$,"[('3 star rating', '6/25/2020'), ('4 star rating', '5/25/2020'), ('4 star rating', '5/7/2020'), ('3 star rating', '5/6/2020'), ('5 star rating', '5/5/2020'), ('4 star rating', '4/2/2018'), ('1 star rating', '5/5/2020'), ('5 star rating', '4/26/2020'), ('5 star rating', '4/5/2020'), ('5 star rating', '3/2/2020'), ('3 star rating', '3/1/2020'), ('4 star rating', '2/29/2020'), ('5 star rating', '2/19/2020'), ('3 star rating', '2/17/2020'), ('3 star rating', '2/15/2020'), ('1 star rating', '1/21/2020'), ('3 star rating', '12/16/2019'), ('4 star rating', '11/30/2019'), ('3 star rating', '11/27/2019'), ('4 star rating', '11/25/2019'), ('5 star rating', '11/21/2019')]",Ho' Brah a taco joint,https://www.yelp.com/biz/ho-brah-a-taco-joint-brooklyn-2?osq=mexican&sort_by=date_desc
"29 7th Ave S, New York, NY 10014",4.0,"{'Mon': '12:00 pm - 11:00 pm', 'Tue': '12:00 pm - 11:00 pm', 'Wed': '12:00 pm - 11:00 pm', 'Thu': '12:00 pm - 11:00 pm', 'Fri': '12:00 pm - 12:00 am', 'Sat': '12:00 pm - 12:00 am', 'Sun': '12:00 pm - 11:00 pm'}",Mexican,"{'Delivery': True, 'Takeout': True}",Powered by HDScores,Elite '2020,mexican,"New York, NY",322,(212) 858-9096,$$,"[('5 star rating', '6/28/2020'), ('5 star rating', '2/3/2020'), ('5 star rating', '2/3/2020'), ('2 star rating', '1/22/2020'), ('5 star rating', '1/17/2020'), ('3 star rating', '12/31/2019'), ('5 star rating', '12/19/2019'), ('4 star rating', '11/27/2019'), ('5 star rating', '11/23/2019'), ('4 star rating', '10/2/2019'), ('2 star rating', '9/22/2019'), ('5 star rating', '8/19/2019'), ('3 star rating', '8/12/2019'), ('4 star rating', '8/8/2019'), ('1 star rating', '8/6/2019'), ('5 star rating', '8/3/2019'), ('3 star rating', '7/30/2019'), ('4 star rating', '7/27/2019'), ('2 star rating', '7/22/2019')]",La Loteria,https://www.yelp.com/biz/la-loteria-new-york?osq=mexican&sort_by=date_desc
"152 Smith St, Brooklyn, NY 11201",4.0,"{'Mon': '11:00 am - 10:00 pm', 'Tue': '11:00 am - 10:00 pm', 'Wed': '11:00 am - 10:00 pm', 'Thu': '11:00 am - 10:00 pm', 'Fri': '11:00 am - 12:00 am', 'Sat': '11:00 am - 12:00 am', 'Sun': '11:00 am - 11:00 pm'}",Mexican,"{'Delivery': True, 'Takeout': True}",Powered by HDScores,Elite '2020,mexican,"New York, NY",158,(929) 295-9361,$$,"[('5 star rating', '7/21/2020'), ('3 star rating', '6/28/2020'), ('3 star rating', '5/23/2020'), ('4 star rating', '3/10/2020'), ('5 star rating', '3/3/2020'), ('5 star rating', '2/10/2020'), ('5 star rating', '2/10/2020'), ('5 star rating', '2/4/2020'), ('4 star rating', '1/22/2020'), ('3 star rating', '12/23/2019'), ('1 star rating', '12/17/2019'), ('4 star rating', '12/5/2019'), ('1 star rating', '12/4/2019'), ('5 star rating', '10/27/2019'), ('5 star rating', '10/8/2019'), ('4 star rating', '8/26/2019'), ('4 star rating', '8/21/2019'), ('5 star rating', '8/15/2019'), ('5 star rating', '8/9/2019')]",Fatty Daddy Taco,https://www.yelp.com/biz/fatty-daddy-taco-brooklyn-2?osq=mexican&sort_by=date_desc
"40-17 30th Ave, Astoria, NY 11103",4.5,"{'Mon': '12:00 pm - 9:00 pm', 'Tue': '12:00 pm - 9:00 pm', 'Wed': '12:00 pm - 9:00 pm', 'Thu': '12:00 pm - 9:00 pm', 'Fri': '12:00 pm - 10:00 pm', 'Sat': '12:00 pm - 10:00 pm', 'Sun': '12:00 pm - 9:00 pm'}","New Mexican Cuisine,Mexican","{'Outdoor seating': True, 'Delivery': True, 'Takeout': True, 'Masks required': True, 'Staff wears gloves': True, 'Staff wears masks': True, 'Social distancing enforced': True}","Posted on June 23, 2020","""Now have outdoor dining! 

We will be offering a collection of frozen drinks and cocktails now available for pickup and delivery.

10% Off food pickup or delivery orders placed over the phone or in store! 

We are on Doordash, UberEats, and Grubhub""",mexican,"New York, NY",44,(718) 685-2099,,"[('5 star rating', '7/18/2020'), ('5 star rating', '7/10/2020'), ('5 star rating', '7/4/2020'), ('3 star rating', '6/27/2020'), ('5 star rating', '6/26/2020'), ('5 star rating', '4/9/2020'), ('5 star rating', '2/15/2020'), ('5 star rating', '2/1/2020'), ('5 star rating', '1/16/2020'), ('5 star rating', '1/5/2020'), ('5 star rating', '12/19/2019'), ('5 star rating', '11/9/2019'), ('5 star rating', '10/19/2019'), ('5 star rating', '10/3/2019'), ('5 star rating', '9/11/2019'), ('5 star rating', '8/21/2019'), ('5 star rating', '8/15/2019'), ('5 star rating', '7/25/2019'), ('5 star rating', '7/21/2019')]",Hoja Santa,https://www.yelp.com/biz/hoja-santa-astoria?osq=mexican&sort_by=date_desc
