address,avg_rating,business_hours,category,covid_services,covid_update_time,covid_updates_text,cuisine,location,num_reviews,phone_num,price_range,recent_reviews,restaurant_name,url
"710 Florida St, San Francisco, CA 94110",4.0,"{'Mon': '11:00 am - 9:30 pm', 'Tue': '11:00 am - 9:30 pm', 'Wed': '11:00 am - 9:30 pm', 'Thu': '11:00 am - 9:30 pm', 'Fri': '11:00 am - 9:30 pm', 'Sat': '12:00 pm - 9:30 pm', 'Sun': '12:00 pm - 9:30 pm'}","Thai,Comfort Food","{'Outdoor seating': True, 'Delivery': True, 'Takeout': True, 'Sit-down dining': True, 'Curbside pickup': True, 'Gift cards': True, 'Contactless payments': True, 'Masks required': True, 'Staff wears gloves': True, 'Staff wears masks': True, 'Limited capacity': True, 'Hand sanitizer provided': True, 'Sanitizing between customers': True, 'Social distancing enforced': True, 'Temperature checks': True}","Posted on July 9, 2020","""OPEN!! for Patio Dinning
Weekday (Mon-Fri) 11.00 AM - 09.30 PM
Weekend (Sat-Sun) 12.00 PM - 09.30 PM
(RSVP www.farmhouseTHAI.com)

Takeout order at www.farmhousetogo.com  
delivery on caviar, doordash, uber, ezcater""",thai,"San Francisco, CA",2511,(415) 814-2920,$$,"[('2 star rating', '7/23/2020'), ('5 star rating', '7/21/2020'), ('4 star rating', '7/19/2020'), ('5 star rating', '7/19/2020'), ('5 star rating', '7/19/2020'), ('4 star rating', '7/18/2020'), ('5 star rating', '7/18/2020'), ('5 star rating', '7/18/2020'), ('5 star rating', '7/15/2020'), ('4 star rating', '7/15/2020'), ('4 star rating', '7/14/2020'), ('4 star rating', '7/13/2020'), ('5 star rating', '7/13/2020'), ('5 star rating', '7/12/2020'), ('4 star rating', '7/12/2020'), ('4 star rating', '7/7/2020'), ('5 star rating', '7/3/2020'), ('4 star rating', '6/30/2020'), ('1 star rating', '6/29/2020')]",Farmhouse Kitchen Thai Cuisine,https://www.yelp.com/biz/farmhouse-kitchen-thai-cuisine-san-francisco?osq=thai&sort_by=date_desc
"2545 Ocean Ave, San Francisco, CA 94132",4.0,"{'Mon': 'Closed', 'Tue': '4:00 pm - 8:00 pm', 'Wed': '4:00 pm - 8:00 pm', 'Thu': '4:00 pm - 8:00 pm', 'Fri': '4:00 pm - 8:00 pm', 'Sat': '4:00 pm - 8:00 pm', 'Sun': 'Closed'}",Thai,"{'Delivery': True, 'Takeout': True}","Posted on June 2, 2020","""Dear customers,

Good news ! we will be opened again on Thursday April 30th from 4 P.M. to 8 P.M. ! Our new hours will be Tuesday 4 P.M. to 8 P.M. to Saturday 4 P.M. to 8 P.M.

Best,

Ocean Thai

P.S. Due to the current curfews on the city, new hours will be from 3:00 PM…""",thai,"San Francisco, CA",135,(415) 585-7251,$$,"[('5 star rating', '7/18/2020'), ('4 star rating', '7/16/2020'), ('5 star rating', '6/30/2020'), ('3 star rating', '6/10/2020'), ('4 star rating', '5/6/2020'), ('5 star rating', '4/26/2020'), ('4 star rating', '3/19/2020'), ('5 star rating', '3/13/2020'), ('3 star rating', '2/23/2020'), ('4 star rating', '2/4/2020'), ('3 star rating', '2/4/2020'), ('5 star rating', '1/31/2020'), ('1 star rating', '1/22/2020'), ('2 star rating', '1/12/2020'), ('5 star rating', '1/12/2020'), ('5 star rating', '12/8/2019'), ('4 star rating', '12/4/2019'), ('1 star rating', '11/13/2019'), ('5 star rating', '11/12/2019')]",Ocean Thai,https://www.yelp.com/biz/ocean-thai-san-francisco?osq=thai&sort_by=date_desc
"494 Haight St, San Francisco, CA 94117",3.5,"{'Mon': '11:30 am - 3:00 pm', 'Tue': '11:30 am - 3:00 pm', 'Wed': '11:30 am - 3:00 pm', 'Thu': '11:30 am - 3:00 pm', 'Fri': '11:30 am - 3:00 pm', 'Sat': '11:30 am - 10:30 pm', 'Sun': '11:30 am - 10:30 pm'}",Thai,"{'Delivery': True, 'Takeout': True}",Powered by HDScores,Elite '2020,thai,"San Francisco, CA",300,(415) 552-2960,$$,"[('2 star rating', '7/18/2020'), ('1 star rating', '7/11/2020'), ('5 star rating', '5/8/2020'), ('3 star rating', '4/10/2020'), ('5 star rating', '3/27/2020'), ('5 star rating', '2/23/2020'), ('5 star rating', '2/17/2020'), ('5 star rating', '2/3/2020'), ('5 star rating', '2/6/2016'), ('4 star rating', '7/14/2014'), ('1 star rating', '1/29/2020'), ('2 star rating', '1/3/2020'), ('5 star rating', '12/20/2019'), ('5 star rating', '12/10/2019'), ('2 star rating', '12/1/2019'), ('2 star rating', '11/30/2019'), ('1 star rating', '11/26/2019'), ('3 star rating', '11/25/2019'), ('3 star rating', '11/23/2019'), ('5 star rating', '11/10/2019'), ('4 star rating', '10/26/2019')]",House of Thai 2,https://www.yelp.com/biz/house-of-thai-2-san-francisco?osq=thai&sort_by=date_desc
"3166 24th St, San Francisco, CA 94110",4.0,"{'Mon': '11:00 am - 3:30 pm', 'Tue': 'Closed', 'Wed': '11:00 am - 3:30 pm', 'Thu': '11:00 am - 3:30 pm', 'Fri': '11:00 am - 3:30 pm', 'Sat': '11:00 am - 3:30 pm', 'Sun': '11:00 am - 3:30 pm'}",Thai,"{'Delivery': True, 'Takeout': True}",Powered by HDScores,Elite '2020,thai,"San Francisco, CA",354,(415) 829-2960,$$,"[('5 star rating', '7/23/2020'), ('5 star rating', '7/20/2020'), ('5 star rating', '7/2/2020'), ('5 star rating', '6/22/2020'), ('5 star rating', '6/18/2020'), ('5 star rating', '5/21/2020'), ('5 star rating', '5/18/2020'), ('5 star rating', '5/18/2020'), ('3 star rating', '5/12/2020'), ('4 star rating', '5/7/2020'), ('5 star rating', '5/3/2020'), ('4 star rating', '4/27/2020'), ('5 star rating', '4/26/2020'), ('5 star rating', '4/19/2020'), ('5 star rating', '4/9/2020'), ('5 star rating', '4/8/2020'), ('4 star rating', '3/25/2020'), ('5 star rating', '3/22/2020'), ('5 star rating', '3/21/2020')]",Chili Cha Cha 2,https://www.yelp.com/biz/chili-cha-cha-2-san-francisco?osq=thai&sort_by=date_desc
"4301 24th St, San Francisco, CA 94114",4.0,"{'Mon': '5:00 pm - 10:00 pm', 'Tue': '5:00 pm - 10:00 pm', 'Wed': '5:00 pm - 10:00 pm', 'Thu': '5:00 pm - 10:00 pm', 'Fri': '5:00 pm - 10:00 pm', 'Sat': '5:00 pm - 10:00 pm', 'Sun': '5:00 pm - 10:00 pm'}","Thai,Asian Fusion,Laotian","{'Delivery': True, 'Takeout': True}",Powered by HDScores,Elite '2020,thai,"San Francisco, CA",357,(415) 821-4776,$$,"[('5 star rating', '7/12/2020'), ('5 star rating', '5/29/2020'), ('1 star rating', '5/16/2020'), ('4 star rating', '4/9/2020'), ('3 star rating', '3/10/2020'), ('1 star rating', '2/22/2020'), ('4 star rating', '1/18/2020'), ('4 star rating', '1/3/2020'), ('5 star rating', '12/21/2019'), ('4 star rating', '11/8/2019'), ('2 star rating', '10/18/2019'), ('5 star rating', '9/20/2019'), ('2 star rating', '7/15/2019'), ('5 star rating', '7/11/2019'), ('5 star rating', '6/16/2019'), ('5 star rating', '6/14/2019'), ('3 star rating', '5/26/2019'), ('5 star rating', '4/27/2019'), ('5 star rating', '4/13/2019')]",Rin's Thai Restaurant,https://www.yelp.com/biz/rins-thai-restaurant-san-francisco?osq=thai&sort_by=date_desc
"346 Clement St, San Francisco, CA 94118",3.0,"{'Mon': '11:00 am - 1:00 am', 'Tue': '11:00 am - 1:00 am', 'Wed': '11:00 am - 1:00 am', 'Thu': '11:00 am - 1:00 am', 'Fri': '11:00 am - 2:00 am', 'Sat': '11:00 am - 2:00 am', 'Sun': '11:00 am - 1:00 am'}",Thai,"{'Delivery': True, 'Takeout': True}",Powered by HDScores,Elite '2020,thai,"San Francisco, CA",229,(415) 831-9953,$$,"[('5 star rating', '7/14/2020'), ('1 star rating', '7/6/2020'), ('5 star rating', '7/6/2020'), ('5 star rating', '6/29/2020'), ('2 star rating', '5/23/2020'), ('5 star rating', '5/23/2020'), ('2 star rating', '5/18/2020'), ('5 star rating', '4/15/2020'), ('2 star rating', '4/12/2020'), ('5 star rating', '4/4/2020'), ('5 star rating', '4/3/2020'), ('5 star rating', '3/6/2020'), ('1 star rating', '3/3/2020'), ('4 star rating', '2/23/2020'), ('3 star rating', '2/19/2020'), ('3 star rating', '2/10/2020'), ('4 star rating', '2/9/2020'), ('5 star rating', '2/7/2020'), ('4 star rating', '1/8/2020')]",King’s Thai Cuisine #2,https://www.yelp.com/biz/king-s-thai-cuisine-2-san-francisco?osq=thai&sort_by=date_desc
"771 Ellis St, San Francisco, CA 94109",4.0,"{'Mon': '11:00 am - 3:00 pm', 'Tue': 'Closed', 'Wed': '11:00 am - 9:00 pm', 'Thu': '11:00 am - 3:00 pm', 'Fri': '11:00 am - 3:00 pm', 'Sat': '11:00 am - 10:00 pm', 'Sun': '11:00 am - 9:00 pm'}",Thai,"{'Delivery': True, 'Takeout': True}","Posted on April 4, 2020","""We are Temporarily closed due to Coronavirus.""",thai,"San Francisco, CA",710,(415) 885-0725,$,"[('5 star rating', '6/18/2020'), ('5 star rating', '5/24/2020'), ('5 star rating', '5/20/2020'), ('5 star rating', '4/3/2020'), ('4 star rating', '3/26/2020'), ('4 star rating', '3/14/2020'), ('5 star rating', '3/5/2020'), ('4 star rating', '3/2/2020'), ('5 star rating', '3/1/2020'), ('1 star rating', '2/29/2020'), ('5 star rating', '2/29/2020'), ('5 star rating', '2/19/2020'), ('4 star rating', '2/17/2020'), ('5 star rating', '2/16/2020'), ('5 star rating', '2/14/2020'), ('5 star rating', '2/7/2020'), ('5 star rating', '2/5/2020'), ('5 star rating', '1/18/2020'), ('5 star rating', '1/17/2020')]",Zen Yai Thai Restaurant,https://www.yelp.com/biz/zen-yai-thai-restaurant-san-francisco?osq=thai&sort_by=date_desc
"1705 Haight St, San Francisco, CA 94117",4.0,"{'Mon': '12:00 pm - 3:30 pm', 'Tue': 'Closed', 'Wed': '5:00 pm - 9:00 pm', 'Thu': '5:00 pm - 9:00 pm', 'Fri': '12:00 pm - 3:30 pm', 'Sat': '12:00 pm - 9:30 pm', 'Sun': '12:00 pm - 9:00 pm'}",Thai,{},Powered by HDScores,Contact the business for more information about recent service changes.,thai,"San Francisco, CA",452,(415) 933-8031,$$,"[('5 star rating', '7/14/2020'), ('4 star rating', '4/28/2020'), ('5 star rating', '3/13/2020'), ('5 star rating', '2/20/2020'), ('3 star rating', '2/7/2020'), ('3 star rating', '2/7/2020'), ('5 star rating', '2/2/2020'), ('5 star rating', '1/19/2020'), ('3 star rating', '1/5/2020'), ('5 star rating', '1/1/2020'), ('5 star rating', '12/27/2019'), ('5 star rating', '12/23/2019'), ('5 star rating', '11/28/2019'), ('5 star rating', '11/15/2019'), ('5 star rating', '11/15/2019'), ('5 star rating', '11/6/2019'), ('3 star rating', '11/5/2019'), ('5 star rating', '10/28/2019'), ('3 star rating', '10/27/2019')]",Siam Lotus Thai Cuisine,https://www.yelp.com/biz/siam-lotus-thai-cuisine-san-francisco?osq=thai&sort_by=date_desc
"730 Larkin St, San Francisco, CA 94109",4.0,"{'Mon': '11:00 am - 4:00 pm', 'Tue': '11:00 am - 4:00 pm', 'Wed': '11:00 am - 4:00 pm', 'Thu': '11:00 am - 4:00 pm', 'Fri': '11:00 am - 4:00 pm', 'Sat': '11:00 am - 4:00 pm', 'Sun': '11:00 am - 4:00 pm'}","Thai,Wine Bars","{'Delivery': True, 'Takeout': True}",Powered by HDScores,Elite '2020,thai,"San Francisco, CA",2209,(415) 931-6917,$$,"[('5 star rating', '7/20/2020'), ('5 star rating', '6/30/2020'), ('4 star rating', '6/25/2020'), ('5 star rating', '5/2/2020'), ('5 star rating', '6/3/2011'), ('1 star rating', '4/30/2020'), ('2 star rating', '4/24/2020'), ('1 star rating', '4/12/2020'), ('1 star rating', '6/18/2019'), ('5 star rating', '4/11/2020'), ('2 star rating', '4/10/2020'), ('5 star rating', '3/23/2020'), ('4 star rating', '2/22/2020'), ('4 star rating', '2/19/2020'), ('4 star rating', '2/15/2020'), ('2 star rating', '2/13/2020'), ('2 star rating', '2/21/2016'), ('4 star rating', '2/8/2020'), ('4 star rating', '2/6/2020'), ('2 star rating', '2/2/2020'), ('4 star rating', '1/27/2020'), ('5 star rating', '1/26/2020')]",Lers Ros,https://www.yelp.com/biz/lers-ros-san-francisco-2?osq=thai&sort_by=date_desc
"312 Divisadero St, San Francisco, CA 94117",4.0,"{'Mon': '11:00 am - 3:00 pm', 'Tue': '11:00 am - 3:00 pm', 'Wed': '11:00 am - 3:00 pm', 'Thu': '11:00 am - 3:00 pm', 'Fri': '11:00 am - 3:00 pm', 'Sat': '11:00 am - 4:00 pm', 'Sun': '11:00 am - 4:00 pm'}","Thai,Ramen","{'Delivery': True, 'Takeout': True, 'Curbside pickup': True}",Powered by HDScores,Elite '2020,thai,"San Francisco, CA",245,(628) 218-9434,$$,"[('4 star rating', '7/11/2020'), ('4 star rating', '6/7/2020'), ('4 star rating', '6/1/2020'), ('4 star rating', '5/27/2020'), ('5 star rating', '5/25/2020'), ('5 star rating', '5/14/2020'), ('3 star rating', '4/29/2020'), ('3 star rating', '3/30/2020'), ('4 star rating', '3/20/2020'), ('5 star rating', '3/9/2020'), ('5 star rating', '2/23/2020'), ('4 star rating', '2/23/2020'), ('3 star rating', '2/23/2020'), ('5 star rating', '2/20/2020'), ('5 star rating', '2/18/2020'), ('3 star rating', '2/9/2020'), ('5 star rating', '2/7/2020'), ('4 star rating', '2/6/2020'), ('5 star rating', '2/2/2020'), ('3 star rating', '1/16/2019')]",Mangrove Kitchen,https://www.yelp.com/biz/mangrove-kitchen-san-francisco?osq=thai&sort_by=date_desc
