address,avg_rating,business_hours,category,covid_services,covid_update_time,covid_updates_text,cuisine,location,num_reviews,phone_num,price_range,recent_reviews,restaurant_name,url
"2713 E 2nd St, Austin, TX 78702",4.0,"{'Mon': '12:00 pm - 9:00 pm', 'Tue': '12:00 pm - 9:00 pm', 'Wed': '12:00 pm - 9:00 pm', 'Thu': '12:00 pm - 9:00 pm', 'Fri': '12:00 pm - 9:00 pm', 'Sat': '12:00 pm - 9:00 pm', 'Sun': '12:00 pm - 9:00 pm'}","Izakaya,Smokehouse","{'Takeout': True, 'Curbside pickup': True}",Powered by HDScores,Thu,japanese,"Austin, TX",687,(512) 893-5561,$$,"[('4 star rating', '5/22/2020'), ('5 star rating', '4/24/2020'), ('3 star rating', '4/18/2020'), ('5 star rating', '4/4/2020'), ('4 star rating', '4/23/2018'), ('5 star rating', '4/1/2020'), ('5 star rating', '3/24/2020'), ('3 star rating', '3/15/2020'), ('5 star rating', '3/12/2020'), ('4 star rating', '3/10/2020'), ('5 star rating', '3/10/2020'), ('3 star rating', '3/8/2020'), ('4 star rating', '3/4/2020'), ('5 star rating', '2/25/2020'), ('4 star rating', '2/20/2020'), ('4 star rating', '2/19/2020'), ('2 star rating', '2/18/2020'), ('3 star rating', '2/17/2020'), ('4 star rating', '2/15/2020'), ('5 star rating', '2/14/2020')]",Kemuri Tatsu-ya,https://www.yelp.com/biz/kemuri-tatsu-ya-austin-2?osq=japanese&sort_by=date_desc
"207 San Jacinto, Ste 202, Austin, TX 78701",4.5,"{'Mon': '11:00 am - 10:00 pm', 'Tue': '11:00 am - 10:00 pm', 'Wed': '11:00 am - 10:00 pm', 'Thu': '11:00 am - 10:00 pm', 'Fri': '11:00 am - 12:00 am', 'Sat': '12:00 pm - 12:00 am', 'Sun': '12:00 pm - 10:00 pm'}","Asian Fusion,Sushi Bars,Japanese","{'Delivery': True, 'Takeout': True, 'Sit-down dining': True, 'Curbside pickup': True, 'Masks required': True, 'Staff wears masks': True, 'Limited capacity': True, 'Hand sanitizer provided': True, 'Sanitizing between customers': True, 'Social distancing enforced': True, 'Temperature checks': True}","Posted on April 30, 2020","""With the current COVID-19 situation, our business operations is taking every necessary steps that are recommended by the CDC and WHO to ensure the safety of our team members and customers.  Our staff members undergo random temperature checks throughout the day and recentl…""",japanese,"Austin, TX",29,(512) 596-5629,,"[('5 star rating', '7/24/2020'), ('5 star rating', '7/20/2020'), ('5 star rating', '7/20/2020'), ('5 star rating', '7/19/2020'), ('1 star rating', '7/18/2020'), ('5 star rating', '7/17/2020'), ('4 star rating', '7/16/2020'), ('5 star rating', '7/13/2020'), ('5 star rating', '7/8/2020'), ('3 star rating', '7/6/2020'), ('5 star rating', '6/27/2020'), ('5 star rating', '6/17/2020'), ('5 star rating', '5/29/2020'), ('2 star rating', '5/28/2020'), ('5 star rating', '5/12/2020'), ('5 star rating', '5/12/2020'), ('5 star rating', '5/9/2020'), ('5 star rating', '5/8/2020'), ('5 star rating', '5/5/2020'), ('5 star rating', '5/1/2020')]",YORU,https://www.yelp.com/biz/yoru-austin-3?osq=japanese&sort_by=date_desc
"13376 N Hwy 183, Ste 400, Austin, TX 78750",4.5,"{'Mon': '11:00 am - 2:30 pm', 'Tue': '11:00 am - 2:30 pm', 'Wed': '11:00 am - 2:30 pm', 'Thu': '11:00 am - 2:30 pm', 'Fri': '11:00 am - 2:30 pm', 'Sat': '11:00 am - 2:30 pm', 'Sun': '11:00 am - 9:00 pm'}","Japanese,Sushi Bars","{'Drive-thru': True, 'Delivery': True, 'Takeout': True, 'Sit-down dining': True, 'Curbside pickup': True}","Posted on May 2, 2020","""Now open for dine-in, takeout, and delivery!""",japanese,"Austin, TX",165,(512) 243-5554,$$,"[('5 star rating', '7/18/2020'), ('5 star rating', '7/13/2020'), ('5 star rating', '7/2/2020'), ('5 star rating', '6/29/2020'), ('5 star rating', '6/28/2020'), ('2 star rating', '6/26/2020'), ('5 star rating', '6/24/2020'), ('5 star rating', '6/16/2020'), ('4 star rating', '6/14/2020'), ('5 star rating', '6/6/2020'), ('5 star rating', '6/2/2020'), ('4 star rating', '6/1/2020'), ('5 star rating', '5/29/2020'), ('5 star rating', '5/27/2020'), ('5 star rating', '5/23/2020'), ('5 star rating', '5/21/2020'), ('5 star rating', '5/19/2020'), ('5 star rating', '5/16/2020'), ('5 star rating', '5/16/2020')]",Ebisu Japanese Restaurant,https://www.yelp.com/biz/ebisu-japanese-restaurant-austin?osq=japanese&sort_by=date_desc
"14005 N Hwy 183, Ste1000, Austin, TX 78717",4.0,"{'Mon': '11:00 am - 9:00 pm', 'Tue': '11:00 am - 9:00 pm', 'Wed': '11:00 am - 9:00 pm', 'Thu': '11:00 am - 9:00 pm', 'Fri': '11:00 am - 9:30 pm', 'Sat': '11:30 am - 9:30 pm', 'Sun': '11:30 am - 9:30 pm'}","Japanese,Sushi Bars","{'Delivery': True, 'Takeout': True}","Posted on July 1, 2020","""Offering online order at our website or text SUSHIBB to 33733.Save more and stay safe.""",japanese,"Austin, TX",953,(512) 609-8185,$$,"[('5 star rating', '7/15/2020'), ('5 star rating', '6/14/2020'), ('5 star rating', '5/21/2020'), ('2 star rating', '5/15/2020'), ('2 star rating', '5/13/2020'), ('1 star rating', '5/14/2020'), ('5 star rating', '5/13/2020'), ('5 star rating', '5/12/2020'), ('5 star rating', '5/10/2020'), ('5 star rating', '5/7/2020'), ('1 star rating', '4/24/2020'), ('5 star rating', '3/26/2020'), ('2 star rating', '3/15/2020'), ('2 star rating', '3/12/2020'), ('4 star rating', '3/1/2020'), ('5 star rating', '2/29/2020'), ('1 star rating', '2/23/2020'), ('5 star rating', '2/22/2020'), ('5 star rating', '2/15/2020'), ('1 star rating', '2/14/2020'), ('1 star rating', '9/18/2018')]",Sushi Bang Bang,https://www.yelp.com/biz/sushi-bang-bang-austin?osq=japanese&sort_by=date_desc
"4917 Airport Blvd, Austin, TX 78751",4.5,"{'Mon': '10:00 am - 4:00 pm', 'Tue': '10:00 am - 4:00 pm', 'Wed': '10:00 am - 4:00 pm', 'Thu': '10:00 am - 4:00 pm', 'Fri': '10:00 am - 4:00 pm', 'Sat': '10:00 am - 4:00 pm', 'Sun': '10:00 am - 4:00 pm'}","Japanese,Coffee & Tea","{'Delivery': True, 'Takeout': True, 'Curbside pickup': True}",By Yelp I.,Elite '2020,japanese,"Austin, TX",125,(512) 840-0090,$,"[('1 star rating', '5/23/2020'), ('2 star rating', '3/10/2020'), ('4 star rating', '3/6/2020'), ('4 star rating', '2/29/2020'), ('5 star rating', '2/19/2020'), ('5 star rating', '2/18/2020'), ('5 star rating', '2/18/2020'), ('4 star rating', '2/15/2020'), ('4 star rating', '2/12/2020'), ('5 star rating', '2/9/2020'), ('5 star rating', '2/4/2020'), ('5 star rating', '1/21/2020'), ('2 star rating', '1/20/2020'), ('5 star rating', '1/19/2020'), ('5 star rating', '1/18/2020'), ('5 star rating', '1/10/2020'), ('5 star rating', '12/22/2019'), ('5 star rating', '11/27/2019'), ('5 star rating', '11/19/2019')]",Sa-Ten,https://www.yelp.com/biz/sa-ten-austin-8?osq=japanese&sort_by=date_desc
"7310 Burnet Rd, Austin, TX 78757",4.0,"{'Mon': '11:00 am - 2:00 pm', 'Tue': 'Closed', 'Wed': '11:00 am - 2:00 pm', 'Thu': '11:00 am - 2:00 pm', 'Fri': '11:00 am - 2:00 pm', 'Sat': '11:00 am - 2:00 pm', 'Sun': '4:00 pm - 10:00 pm'}","Sushi Bars,Japanese,Korean","{'Delivery': True, 'Takeout': True, 'Sit-down dining': True, 'Curbside pickup': False}",Powered by HDScores,Elite '2020,japanese,"Austin, TX",365,(512) 458-3700,$$,"[('5 star rating', '7/14/2020'), ('4 star rating', '3/28/2019'), ('5 star rating', '6/15/2020'), ('2 star rating', '6/11/2020'), ('5 star rating', '5/16/2020'), ('4 star rating', '5/14/2020'), ('1 star rating', '5/10/2020'), ('5 star rating', '4/3/2020'), ('5 star rating', '3/30/2020'), ('5 star rating', '3/15/2020'), ('4 star rating', '3/6/2020'), ('5 star rating', '2/27/2020'), ('2 star rating', '2/25/2020'), ('1 star rating', '2/8/2020'), ('5 star rating', '2/2/2020'), ('4 star rating', '1/23/2020'), ('5 star rating', '1/19/2020'), ('4 star rating', '1/8/2020'), ('5 star rating', '1/1/2020'), ('1 star rating', '12/31/2019')]",Ichiban,https://www.yelp.com/biz/ichiban-austin-2?osq=japanese&sort_by=date_desc
"8578 Research Blvd, Austin, TX 78758",4.5,"{'Mon': 'Closed', 'Tue': '12:00 pm - 9:00 pm', 'Wed': '12:00 pm - 9:00 pm', 'Thu': '12:00 pm - 9:00 pm', 'Fri': '12:00 pm - 9:00 pm', 'Sat': '12:00 pm - 9:00 pm', 'Sun': '12:00 pm - 9:00 pm'}","Japanese,Coffee & Tea,Ice Cream & Frozen Yogurt","{'Delivery': True, 'Takeout': True, 'Curbside pickup': True}",Powered by HDScores,Elite '2020,japanese,"Austin, TX",197,(512) 520-9046,$$,"[('5 star rating', '7/22/2020'), ('5 star rating', '7/22/2020'), ('5 star rating', '7/22/2020'), ('5 star rating', '7/19/2020'), ('5 star rating', '7/18/2020'), ('4 star rating', '6/23/2020'), ('4 star rating', '6/14/2020'), ('5 star rating', '6/12/2020'), ('5 star rating', '6/6/2020'), ('4 star rating', '6/1/2020'), ('3 star rating', '5/30/2020'), ('5 star rating', '5/25/2020'), ('5 star rating', '5/11/2019'), ('5 star rating', '4/29/2020'), ('5 star rating', '4/25/2020'), ('4 star rating', '4/23/2020'), ('4 star rating', '3/18/2020'), ('5 star rating', '3/16/2020'), ('3 star rating', '3/15/2020'), ('4 star rating', '3/14/2020')]",Sugar Pine,https://www.yelp.com/biz/sugar-pine-austin?osq=japanese&sort_by=date_desc
"8557 Research Blvd, Ste 126, Austin, TX 78758",4.0,"{'Mon': '11:00 am - 10:00 pm', 'Tue': '11:00 am - 10:00 pm', 'Wed': '11:00 am - 10:00 pm', 'Thu': '11:00 am - 10:00 pm', 'Fri': '11:00 am - 10:00 pm', 'Sat': '11:00 am - 10:00 pm', 'Sun': '11:00 am - 10:00 pm'}",Ramen,"{'Delivery': True, 'Takeout': True, 'Curbside pickup': True}",Powered by HDScores,Thu,japanese,"Austin, TX",2489,(512) 893-5561,$$,"[('3 star rating', '7/23/2020'), ('5 star rating', '7/23/2020'), ('4 star rating', '5/1/2020'), ('4 star rating', '4/20/2020'), ('1 star rating', '7/21/2020'), ('4 star rating', '7/19/2020'), ('5 star rating', '7/17/2020'), ('4 star rating', '7/16/2020'), ('5 star rating', '7/16/2020'), ('5 star rating', '7/15/2020'), ('5 star rating', '7/9/2020'), ('5 star rating', '7/3/2020'), ('4 star rating', '7/1/2020'), ('4 star rating', '4/2/2020'), ('5 star rating', '6/29/2020'), ('5 star rating', '6/28/2020'), ('2 star rating', '6/27/2020'), ('5 star rating', '6/26/2020'), ('5 star rating', '6/23/2020'), ('5 star rating', '6/14/2020'), ('5 star rating', '6/7/2020'), ('4 star rating', '6/5/2020')]",Ramen Tatsu-Ya,https://www.yelp.com/biz/ramen-tatsu-ya-austin?osq=japanese&sort_by=date_desc
"315 Congress Ave, Ste 100, Austin, TX 78701",4.5,"{'Mon': '11:30 am - 3:00 pm', 'Tue': '11:30 am - 3:00 pm', 'Wed': '11:30 am - 3:00 pm', 'Thu': '11:30 am - 3:00 pm', 'Fri': '11:30 am - 3:00 pm', 'Sat': '5:00 pm - 12:00 am', 'Sun': 'Closed'}",Sushi Bars,"{'Delivery': True, 'Takeout': True}",By Yelp I.,Thu,japanese,"Austin, TX",91,(512) 401-3822,,"[('5 star rating', '7/12/2020'), ('5 star rating', '7/8/2020'), ('5 star rating', '7/5/2020'), ('5 star rating', '7/4/2020'), ('5 star rating', '7/2/2020'), ('5 star rating', '6/24/2020'), ('5 star rating', '6/15/2020'), ('5 star rating', '6/14/2020'), ('5 star rating', '6/12/2020'), ('4 star rating', '6/6/2020'), ('5 star rating', '5/29/2020'), ('5 star rating', '5/29/2020'), ('5 star rating', '5/25/2020'), ('5 star rating', '5/23/2020'), ('4 star rating', '5/12/2020'), ('4 star rating', '3/11/2020'), ('5 star rating', '3/7/2020'), ('5 star rating', '3/7/2020'), ('5 star rating', '3/5/2020')]",Sushi Junai Omakase,https://www.yelp.com/biz/sushi-junai-omakase-austin-2?osq=japanese&sort_by=date_desc
"4200 N Lamar Blvd, Ste 140, Austin, TX 78756",4.5,"{'Mon': '4:00 pm - 9:00 pm', 'Tue': '4:00 pm - 9:00 pm', 'Wed': '4:00 pm - 9:00 pm', 'Thu': '4:00 pm - 9:00 pm', 'Fri': '4:00 pm - 10:00 pm', 'Sat': '4:00 pm - 10:00 pm', 'Sun': '4:00 pm - 9:00 pm'}","Sushi Bars,Gluten-Free,Japanese","{'Outdoor seating': True, 'Delivery': True, 'Takeout': True, 'Sit-down dining': True, 'Curbside pickup': True, 'Contactless payments': True, 'Masks required': True, 'Staff wears gloves': True, 'Staff wears masks': True, 'Limited capacity': True, 'Hand sanitizer provided': True, 'Sanitizing between customers': True, 'Social distancing enforced': True}","Posted on June 16, 2020","""Open for limited dine-in service by reservations only from 4pm-9pm Sunday-Thursday, 4pm-10pm Friday-Saturday, and sake social 4pm-6:30pm daily. Curbside pickup is 4pm-8:30pm Monday-Thursday and 4pm-9:30pm Friday-Saturday. For dine-in and curbside reservations, please give…""",japanese,"Austin, TX",1726,(512) 916-4808,$$$$,"[('3 star rating', '7/23/2020'), ('5 star rating', '7/22/2020'), ('5 star rating', '10/27/2018'), ('3 star rating', '7/20/2020'), ('5 star rating', '3/13/2017'), ('5 star rating', '7/18/2020'), ('5 star rating', '7/11/2020'), ('5 star rating', '7/6/2020'), ('3 star rating', '7/4/2020'), ('4 star rating', '7/1/2020'), ('4 star rating', '4/2/2020'), ('4 star rating', '6/29/2020'), ('5 star rating', '6/23/2020'), ('5 star rating', '6/23/2020'), ('5 star rating', '6/19/2020'), ('5 star rating', '6/8/2020'), ('5 star rating', '5/30/2020'), ('5 star rating', '5/8/2020'), ('5 star rating', '4/28/2020'), ('5 star rating', '3/23/2020'), ('5 star rating', '3/22/2020'), ('5 star rating', '3/14/2020')]",Uchiko,https://www.yelp.com/biz/uchiko-austin?osq=japanese&sort_by=date_desc
